"Arabidopsis Thaliana","Pseudomonas Syringae","state"
"AT2G04800","AvrPto1_Pto DC3000","interaction"
"AT1G22920","AvrPto1_Pla 107","interaction"
"AT4G36540","HopP1_Pto DC3000","interaction"
"AT1G22920","AvrPto1_Pmo M301020","interaction"
"AT5G60120","AvrPto1_Pto DC3000","interaction"
"AT3G47620","AvrPto1_Pla A7386","interaction"
"AT4G39050","HopC1_Pto DC3000","interaction"
"AT3G47620","AvrPto1_Psy B728A","interaction"
"AT1G22920","AvrPto5_Pma M4a","interaction"
"AT3G48150","AvrB4-1_Pph 1448A","interaction"
"AT3G07780","HopZ3_Paf DSM5025","interaction"
"AT1G22920","HopAO1-N-TERM_Pto DC3000","interaction"
"AT3G48550","HopR1-C-TERM_Pto DC3000","interaction"
"AT5G51910","AvrB2_Pph 1448A","interaction"
"AT4G17680","HopAB1_Psy B728A","interaction"
"AT1G22920","HopAT1_Pph 1448A","interaction"
"AT3G53410","AvrPto1_Pla 107","interaction"
"AT1G22920","HopBF1_Pla 107","interaction"
"AT5G19990","HopBF1_Pla 107","interaction"
"AT3G46370","HopAB1_Psy B728A","interaction"
"AT1G29990","AvrPto1_Psy B728A","interaction"
"AT3G47620","HopBF1_Pla 107","interaction"
"AT3G47620","AvrPto1_Pmo M301020","interaction"
"AT1G22920","HopO1-2_Pto DC3000","interaction"
"AT3G63210","AvrPto1_Psy B728A","interaction"
"AT5G20000","HopBF1_Pla 107","interaction"
"AT4G11890","AvrPto1_Psy B728A","interaction"
"AT3G49580","HopV1_Pph 1448A","interaction"
"AT1G22920","AvrB4-1_Pph 1448A","interaction"
"AT2G21380","HopC1_Pto DC3000","interaction"
"AT3G46940","AvrPto1_Psy B728A","noninteraction"
"AT2G04800","HopZ3_Paf DSM5025","noninteraction"
"AT5G24660","AvrPto1_Psy B728A","noninteraction"
"AT4G34120","HopBB1_Pmo M301020","noninteraction"
"AT1G69690","AvrPto1_Psy B728A","noninteraction"
"AT1G29990","AvrPto1_Pla A7386","noninteraction"
"AT3G47620","HopC1_Pto DC3000","noninteraction"
"AT4G01920","AvrB1_Pgy R0","noninteraction"
"AT1G69690","HopD1_Pto DC3000","noninteraction"
"AT4G11890","AvrPto1_Pto DC3000","noninteraction"
"AT3G07780","AvrB1_Pgy R0","noninteraction"
"AT4G38800","HopBB1_Pmo M301020","noninteraction"
"AT2G35940","HopO1-2_Pto DC3000","noninteraction"
"AT3G49580","AvrRpt2_Pto JL1065_CatalyticDead","noninteraction"
"AT2G39760","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT1G22920","HopAF1_Pto DC3000","noninteraction"
"AT3G48150","AvrRpm1_Pma M2","noninteraction"
"AT3G49570","HopAB1_Psy B728A","noninteraction"
"AT3G48150","HopAO1-N-TERM_Pto DC3000","noninteraction"
"AT5G16940","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT5G59670","HopR1-C-TERM_Pto DC3000","noninteraction"
"AT3G46370","HopG1_Pto DC3000","noninteraction"
"AT4G11890","HopO1-2_Pto DC3000","noninteraction"
"AT4G35580","AvrPto1_Pto DC3000","noninteraction"
"AT2G04740","HopBF1_Pla 107","noninteraction"
"AT3G48150","HopP1_Pto DC3000","noninteraction"
"AT3G17860","HopAB1_Psy B728A","noninteraction"
"AT2G28890","HopAB1_Pph 1448A","noninteraction"
"AT3G49580","HopP1_Pto DC3000","noninteraction"
"AT1G22920","HopAF1_Psy B728A","noninteraction"
