"Arabidopsis Thaliana","Pseudomonas Syringae","state"
"AT2G04740","HopF3_Pph 1448A","interaction"
"AT4G34120","HopR1-C-TERM_Pto DC3000","interaction"
"AT3G46940","HopR1-C-TERM_Pto DC3000","interaction"
"AT5G13810","HopX1_Pto DC3000","interaction"
"AT5G13810","HopX1_Pph 1448A","interaction"
"AT3G63210","AvrPto1_Pto DC3000","interaction"
"AT3G63210","AvrPto1_Pla A7386","interaction"
"AT1G69690","AvrRpm1_Pma M2","interaction"
"AT1G69690","AvrRpm1_Psy B728A","interaction"
"AT1G69690","HopBB1_Pmo M301020","interaction"
"AT5G22290","HopD1_Pto DC3000","interaction"
"AT4G35580","HopD1_Pto DC3000","interaction"
"AT5G22290","HopD1_Pph 1448A","interaction"
"AT4G35580","HopD1_Pph 1448A","interaction"
"AT4G01920","AvrPto1_Pto DC3000","interaction"
"AT4G01920","AvrPto1_Pla A7386","interaction"
"AT4G00710","AvrRpt2_Pto JL1065_CatalyticDead","interaction"
"AT3G17410","AvrB4-1_Pph 1448A","interaction"
"AT2G35940","AvrPto1_Pto DC3000","interaction"
"AT3G47620","AvrPto1_Pto DC3000","interaction"
"AT3G47620","AvrPto1_Pla 107","interaction"
"AT3G47620","AvrPto5_Pma M4a","interaction"
"AT2G28890","HopA1_Pto DC3000","interaction"
"AT3G53350","HopAG1_Psy B728A","interaction"
"AT3G47620","HopBB1_Pmo M301020","interaction"
"AT3G07780","HopF2_Pto DC3000","interaction"
"AT2G47060","AvrB4-1_Pph 1448A","interaction"
"AT4G08150","HopAB1_Pph 1448A","interaction"
"AT5G06780","HopAB1_Psy B728A","interaction"
"AT4G19030","HopD1_Pto DC3000","interaction"
"AT4G19030","HopD1_Pph 1448A","interaction"
"AT4G17710","AvrB1_Pgy R0","interaction"
"AT4G17680","AvrB1_Pgy R0","interaction"
"AT4G17680","AvrB2_Pgy R0","interaction"
"AT4G17680","AvrB2_Pph 1448A","interaction"
"AT4G17680","AvrB4-1_Pph 1448A","interaction"
"AT1G14920","AvrB4-1_Pph 1448A","interaction"
"AT4G17680","HopAB1_Pph 1448A","interaction"
"AT1G24050","HopAO1-N-TERM_Pto DC3000","interaction"
"AT4G17680","HopR1-C-TERM_Pto DC3000","interaction"
"AT4G38800","HopAF1_Pto DC3000","interaction"
"AT4G38800","HopAF1_Pph 1448A","interaction"
"AT4G38800","HopAF1_Ppi 1704B","interaction"
"AT4G02590","HopBB1_Pmo M301020","interaction"
"AT2G39760","HopQ1-1_Pto DC3000","interaction"
"AT4G39050","HopZ3_Paf DSM5025","interaction"
"AT3G48150","AvrB1_Pgy R0","interaction"
"AT3G48150","AvrB2_Pgy R0","interaction"
"AT3G48150","AvrB2_Pph 1448A","interaction"
"AT3G48150","AvrPto1_Pla A7386","interaction"
