"","Overall"
"arabidopsis_AC_AC.d.1.BHAR880101",0
"arabidopsis_AC_AC.d.1.BIGC670101",0
"arabidopsis_AC_AC.d.1.CHAM820102",0
"arabidopsis_AC_AC.d.1.CIDH920105",0
"arabidopsis_AC_AC.d.1.GRAR740102",0
"arabidopsis_AC_AC.d.1.KLEP840101",0
"arabidopsis_AC_AC.d.1.KUHL950101",0
"arabidopsis_AC_AC.d.10.BHAR880101",0
"arabidopsis_AC_AC.d.10.BIGC670101",0
"arabidopsis_AC_AC.d.10.CHAM820102",0
"arabidopsis_AC_AC.d.10.CHOC760101",0
"arabidopsis_AC_AC.d.10.CIDH920105",0
"arabidopsis_AC_AC.d.10.GRAR740102",0
"arabidopsis_AC_AC.d.10.KLEP840101",0
"arabidopsis_AC_AC.d.10.KUHL950101",0
"arabidopsis_AC_AC.d.11.BHAR880101",0
"arabidopsis_AC_AC.d.11.BIGC670101",0
"arabidopsis_AC_AC.d.11.CHAM820102",0
"arabidopsis_AC_AC.d.11.CIDH920105",0
"arabidopsis_AC_AC.d.11.GRAR740102",0
"arabidopsis_AC_AC.d.11.KLEP840101",0
"arabidopsis_AC_AC.d.11.KUHL950101",0
"arabidopsis_AC_AC.d.12.BHAR880101",0
"arabidopsis_AC_AC.d.12.BIGC670101",0
"arabidopsis_AC_AC.d.12.CHAM820102",0
"arabidopsis_AC_AC.d.12.CIDH920105",0
"arabidopsis_AC_AC.d.12.GRAR740102",0
"arabidopsis_AC_AC.d.12.KLEP840101",0
"arabidopsis_AC_AC.d.13.BHAR880101",0
"arabidopsis_AC_AC.d.13.BIGC670101",0
"arabidopsis_AC_AC.d.13.CHAM820102",0
"arabidopsis_AC_AC.d.13.CHOC760101",0
"arabidopsis_AC_AC.d.13.CIDH920105",0
"arabidopsis_AC_AC.d.13.GRAR740102",0
"arabidopsis_AC_AC.d.13.KLEP840101",0
"arabidopsis_AC_AC.d.13.KUHL950101",0
"arabidopsis_AC_AC.d.14.BHAR880101",0
"arabidopsis_AC_AC.d.14.BIGC670101",0
"arabidopsis_AC_AC.d.14.CHAM820102",0
"arabidopsis_AC_AC.d.14.CIDH920105",0
"arabidopsis_AC_AC.d.14.GRAR740102",0
"arabidopsis_AC_AC.d.14.KLEP840101",0
"arabidopsis_AC_AC.d.14.KUHL950101",0
"arabidopsis_AC_AC.d.15.BHAR880101",0
"arabidopsis_AC_AC.d.15.BIGC670101",0
"arabidopsis_AC_AC.d.15.CHAM820102",0
"arabidopsis_AC_AC.d.15.CIDH920105",0
"arabidopsis_AC_AC.d.15.GRAR740102",0.947356285927641
"arabidopsis_AC_AC.d.15.KLEP840101",1.62864505991537
"arabidopsis_AC_AC.d.15.KUHL950101",0
"arabidopsis_AC_AC.d.16.BHAR880101",0
"arabidopsis_AC_AC.d.16.BIGC670101",0
"arabidopsis_AC_AC.d.16.CHAM820102",0
"arabidopsis_AC_AC.d.16.CIDH920105",0
"arabidopsis_AC_AC.d.16.GRAR740102",0
"arabidopsis_AC_AC.d.16.KLEP840101",0
"arabidopsis_AC_AC.d.16.KUHL950101",0
"arabidopsis_AC_AC.d.17.BHAR880101",0
"arabidopsis_AC_AC.d.17.BIGC670101",0
"arabidopsis_AC_AC.d.17.CHAM820102",0
"arabidopsis_AC_AC.d.17.CHOC760101",0
"arabidopsis_AC_AC.d.17.CIDH920105",0
"arabidopsis_AC_AC.d.17.GRAR740102",0
"arabidopsis_AC_AC.d.17.KLEP840101",0
