"","interaction","noninteraction"
"arabidopsis_KAAC_AA",0.50974948773878,0.50974948773878
"arabidopsis_KAAC_AD",0.500066098221958,0.500066098221958
"arabidopsis_KAAC_AE",0.510939255734021,0.510939255734021
"arabidopsis_KAAC_AF",0.516293211712605,0.516293211712605
"arabidopsis_KAAC_AG",0.513814528389186,0.513814528389186
"arabidopsis_KAAC_AH",0.519102386145813,0.519102386145813
"arabidopsis_KAAC_AI",0.503635402207681,0.503635402207681
"arabidopsis_KAAC_AK",0.526141846784322,0.526141846784322
"arabidopsis_KAAC_AL",0.504428580871175,0.504428580871175
"arabidopsis_KAAC_AM",0.506907264194593,0.506907264194593
"arabidopsis_KAAC_AN",0.510509617291295,0.510509617291295
"arabidopsis_KAAC_AP",0.501321964439157,0.501321964439157
"arabidopsis_KAAC_AQ",0.517482979707846,0.517482979707846
"arabidopsis_KAAC_AR",0.543162138938463,0.543162138938463
"arabidopsis_KAAC_AS",0.522308149910767,0.522308149910767
"arabidopsis_KAAC_AT",0.500198294665874,0.500198294665874
"arabidopsis_KAAC_AV",0.506940313305572,0.506940313305572
"arabidopsis_KAAC_AW",0.52405975279265,0.52405975279265
"arabidopsis_KAAC_AY",0.508460572410602,0.508460572410602
"arabidopsis_KAAC_CA",0.500561834886642,0.500561834886642
"arabidopsis_KAAC_CC",0.516954193932183,0.516954193932183
"arabidopsis_KAAC_CE",0.527364663890541,0.527364663890541
"arabidopsis_KAAC_CF",0.501586357326988,0.501586357326988
"arabidopsis_KAAC_CH",0.502941370877123,0.502941370877123
"arabidopsis_KAAC_CI",0.508890210853328,0.508890210853328
"arabidopsis_KAAC_CK",0.518441403926234,0.518441403926234
"arabidopsis_KAAC_CL",0.515037345495406,0.515037345495406
"arabidopsis_KAAC_CM",0.504065040650407,0.504065040650407
"arabidopsis_KAAC_CN",0.509418996628991,0.509418996628991
"arabidopsis_KAAC_CP",0.503899795095512,0.503899795095512
"arabidopsis_KAAC_CQ",0.5,0.5
"arabidopsis_KAAC_CR",0.500198294665874,0.500198294665874
"arabidopsis_KAAC_CS",0.504957366646837,0.504957366646837
"arabidopsis_KAAC_CT",0.504726022869985,0.504726022869985
"arabidopsis_KAAC_CV",0.523365721462093,0.523365721462093
