"","Overall"
"arabidopsis_KAAC_AA",0.0529608464736155
"arabidopsis_KAAC_AD",0.0193793850581983
"arabidopsis_KAAC_AE",0.0692249685808181
"arabidopsis_KAAC_AF",0.0265606147952746
"arabidopsis_KAAC_AG",0.0679892164334863
"arabidopsis_KAAC_AH",0.0278520634920635
"arabidopsis_KAAC_AI",0.0816550394615905
"arabidopsis_KAAC_AK",0.0510811765336376
"arabidopsis_KAAC_AL",0.0803059623455946
"arabidopsis_KAAC_AM",0.0220420709072919
"arabidopsis_KAAC_AN",0.0272364032252577
"arabidopsis_KAAC_AP",0.0221327939487332
"arabidopsis_KAAC_AQ",0.046274292170693
"arabidopsis_KAAC_AR",0.0523377759532848
"arabidopsis_KAAC_AS",0.0588490154648895
"arabidopsis_KAAC_AT",0.0330846173472631
"arabidopsis_KAAC_AV",0.0473893990941819
"arabidopsis_KAAC_AW",0.00757936507936507
"arabidopsis_KAAC_AY",0.0332087291989843
"arabidopsis_KAAC_CA",0.0261432544522328
"arabidopsis_KAAC_CC",0.0203695425295425
"arabidopsis_KAAC_CE",0.0188065099050284
"arabidopsis_KAAC_CF",0.00991877259994908
"arabidopsis_KAAC_CH",0.0174006651830074
"arabidopsis_KAAC_CI",0.0198484997439836
"arabidopsis_KAAC_CK",0.026651445630393
"arabidopsis_KAAC_CL",0.0265919866028974
"arabidopsis_KAAC_CM",0.0058178870114354
"arabidopsis_KAAC_CN",0.0539041068560103
"arabidopsis_KAAC_CP",0.0125157589446127
"arabidopsis_KAAC_CQ",0.00895465367965367
"arabidopsis_KAAC_CR",0.0250203695182942
"arabidopsis_KAAC_CS",0.0544154040617699
"arabidopsis_KAAC_CT",0.02140749014629
"arabidopsis_KAAC_CV",0.0287837588050648
"arabidopsis_KAAC_CW",0.00551111111111111
"arabidopsis_KAAC_CY",0.0351731133281702
"arabidopsis_KAAC_DA",0.0288925220376896
"arabidopsis_KAAC_DC",0.0321131092176964
"arabidopsis_KAAC_DD",0.0440332836683087
"arabidopsis_KAAC_DE",0.0684019225460317
"arabidopsis_KAAC_DF",0.0358984117830478
"arabidopsis_KAAC_DG",0.0308782030656286
"arabidopsis_KAAC_DH",0.0676776289503743
"arabidopsis_KAAC_DI",0.0312713908313908
"arabidopsis_KAAC_DK",0.0519393992969268
"arabidopsis_KAAC_DL",0.0774399467658983
"arabidopsis_KAAC_DM",0.0231179776208762
"arabidopsis_KAAC_DN",0.0232546015576576
"arabidopsis_KAAC_DP",0.0355244362088786
"arabidopsis_KAAC_DQ",0.035911582614739
"arabidopsis_KAAC_DR",0.0475025530281977
"arabidopsis_KAAC_DS",0.0556562723594302
"arabidopsis_KAAC_DT",0.0451570961558767
"arabidopsis_KAAC_DV",0.0596510152061632
"arabidopsis_KAAC_DW",0.00921917631917632
"arabidopsis_KAAC_DY",0.0407522717190633
"arabidopsis_KAAC_EA",0.0570425974725207
"arabidopsis_KAAC_EC",0.0161809523809524
"arabidopsis_KAAC_ED",0.0387357309357309
"arabidopsis_KAAC_EE",0.0455931560339037
"arabidopsis_KAAC_EF",0.0413230823151127
"arabidopsis_KAAC_EG",0.0318827946916472
"arabidopsis_KAAC_EH",0.0228870202261507
"arabidopsis_KAAC_EI",0.0228066398472017
"arabidopsis_KAAC_EK",0.0488395847847167
"arabidopsis_KAAC_EL",0.0776719717521879
"arabidopsis_KAAC_EM",0.0591158875559349
"arabidopsis_KAAC_EN",0.0126305552918842
"arabidopsis_KAAC_EP",0.0322412680771814
"arabidopsis_KAAC_EQ",0.0620674178489861
"arabidopsis_KAAC_ER",0.0457596564426286
"arabidopsis_KAAC_ES",0.0606924309640533
"arabidopsis_KAAC_ET",0.0132005012531328
"arabidopsis_KAAC_EV",0.0851011842023383
"arabidopsis_KAAC_EW",0.00756043956043956
"arabidopsis_KAAC_EY",0.0342304716032331
"arabidopsis_KAAC_FA",0.0207021978021978
"arabidopsis_KAAC_FC",0.0388902968083649
"arabidopsis_KAAC_FD",0.0096881940187253
"arabidopsis_KAAC_FE",0.0327825863374408
"arabidopsis_KAAC_FF",0.0281059091701949
"arabidopsis_KAAC_FG",0.0668685071989638
"arabidopsis_KAAC_FH",0.0174912959139906
"arabidopsis_KAAC_FI",0.0213340995410576
"arabidopsis_KAAC_FK",0.0500910315175021
"arabidopsis_KAAC_FL",0.0704300394230862
"arabidopsis_KAAC_FM",0.0447766845609781
"arabidopsis_KAAC_FN",0.0514577496542949
"arabidopsis_KAAC_FP",0.0490313577581618
"arabidopsis_KAAC_FQ",0.0180174621929413
"arabidopsis_KAAC_FR",0.064130134928281
"arabidopsis_KAAC_FS",0.0611604219569136
"arabidopsis_KAAC_FT",0.0292089299297097
"arabidopsis_KAAC_FV",0.0429849746011101
"arabidopsis_KAAC_FW",0.0188161127004861
"arabidopsis_KAAC_FY",0.0761599977253341
"arabidopsis_KAAC_GA",0.0140063492063492
"arabidopsis_KAAC_GC",0.0267456301012447
"arabidopsis_KAAC_GD",0.0543445351362091
"arabidopsis_KAAC_GE",0.07019059789161
"arabidopsis_KAAC_GF",0.0436039691537282
"arabidopsis_KAAC_GG",0.0387780806557277
"arabidopsis_KAAC_GH",0.0221473646920455
"arabidopsis_KAAC_GI",0.0702860603705081
"arabidopsis_KAAC_GK",0.0418142090814671
"arabidopsis_KAAC_GL",0.0441633308340717
"arabidopsis_KAAC_GM",0.00726984126984127
"arabidopsis_KAAC_GN",0.0137072296124928
"arabidopsis_KAAC_GP",0.0534157969556624
"arabidopsis_KAAC_GQ",0.0185790871311781
"arabidopsis_KAAC_GR",0.0465678615807179
"arabidopsis_KAAC_GS",0.0764784200340753
"arabidopsis_KAAC_GT",0.0752124518847179
"arabidopsis_KAAC_GV",0.0638579149562629
"arabidopsis_KAAC_GW",0.00382608695652174
"arabidopsis_KAAC_GY",0.0451608678514531
"arabidopsis_KAAC_HA",0.0614709403835703
"arabidopsis_KAAC_HC",0.0206512544802867
"arabidopsis_KAAC_HD",0.0221536973822987
"arabidopsis_KAAC_HE",0.0133578431372549
"arabidopsis_KAAC_HF",0.0032
"arabidopsis_KAAC_HG",0.0379644536885932
"arabidopsis_KAAC_HH",0.0701339762968631
"arabidopsis_KAAC_HI",0.0343204172972562
"arabidopsis_KAAC_HK",0.02478618790405
"arabidopsis_KAAC_HL",0.0255434595335758
"arabidopsis_KAAC_HM",0.0222268731268731
"arabidopsis_KAAC_HN",0.0360818789054083
"arabidopsis_KAAC_HQ",0.0675033641795626
"arabidopsis_KAAC_HR",0.0285388798561288
"arabidopsis_KAAC_HS",0.0310103735289101
"arabidopsis_KAAC_HT",0.0353430155733378
"arabidopsis_KAAC_HV",0.00609715162885892
"arabidopsis_KAAC_HW",0.0227877399269189
"arabidopsis_KAAC_HY",0.026011191303573
"arabidopsis_KAAC_IA",0.0506638839219712
"arabidopsis_KAAC_IC",0.0160229198228411
"arabidopsis_KAAC_ID",0.0334537530225994
"arabidopsis_KAAC_IE",0.0492774476824052
"arabidopsis_KAAC_IF",0.0158371109427615
"arabidopsis_KAAC_IG",0.0476680097680098
"arabidopsis_KAAC_IH",0.0380693772452063
"arabidopsis_KAAC_II",0.0501451431793261
"arabidopsis_KAAC_IK",0.0572644140718956
"arabidopsis_KAAC_IL",0.0469830614604153
"arabidopsis_KAAC_IM",0.0131902097902098
"arabidopsis_KAAC_IN",0.0492529014101267
"arabidopsis_KAAC_IP",0.0213216656720587
"arabidopsis_KAAC_IQ",0.0255532405477241
"arabidopsis_KAAC_IR",0.00774206349206349
"arabidopsis_KAAC_IS",0.0986354402134944
"arabidopsis_KAAC_IT",0.0465488673021561
"arabidopsis_KAAC_IV",0.0404574785823512
"arabidopsis_KAAC_IW",0.0141022993457941
"arabidopsis_KAAC_IY",0.0483106321292961
"arabidopsis_KAAC_KA",0.0536164970320184
"arabidopsis_KAAC_KC",0.0370022375995905
"arabidopsis_KAAC_KD",0.0293590834667494
"arabidopsis_KAAC_KF",0.0170133412167529
"arabidopsis_KAAC_KG",0.0367468735849492
"arabidopsis_KAAC_KH",0.0243308940767711
"arabidopsis_KAAC_KI",0.0550052029317354
"arabidopsis_KAAC_KK",0.0718795624390954
"arabidopsis_KAAC_KL",0.0719013181333907
"arabidopsis_KAAC_KM",0.0347579545302842
"arabidopsis_KAAC_KN",0.0778043952170877
"arabidopsis_KAAC_KP",0.0576637115806104
"arabidopsis_KAAC_KQ",0.0285668866268866
"arabidopsis_KAAC_KR",0.0355635040221728
"arabidopsis_KAAC_KS",0.0768823621990082
"arabidopsis_KAAC_KT",0.0631940366926897
"arabidopsis_KAAC_KV",0.0389765097708911
"arabidopsis_KAAC_KW",0.0186013894151825
"arabidopsis_KAAC_KY",0.0416166951692375
"arabidopsis_KAAC_LA",0.0541199695826107
"arabidopsis_KAAC_LC",0.0259339190415782
"arabidopsis_KAAC_LD",0.0465554439400177
"arabidopsis_KAAC_LE",0.0378320787327676
"arabidopsis_KAAC_LF",0.0593610246014069
"arabidopsis_KAAC_LG",0.0417619188399676
"arabidopsis_KAAC_LH",0.0437195891092115
"arabidopsis_KAAC_LI",0.0870298230351919
"arabidopsis_KAAC_LK",0.0884738980864999
"arabidopsis_KAAC_LL",0.0755299876630826
"arabidopsis_KAAC_LM",0.0224125610965522
"arabidopsis_KAAC_LN",0.0561457860822602
"arabidopsis_KAAC_LP",0.0705497246367705
"arabidopsis_KAAC_LQ",0.0824606144710159
"arabidopsis_KAAC_LR",0.0485439517621044
"arabidopsis_KAAC_LS",0.0751345079691739
"arabidopsis_KAAC_LT",0.0601314486925155
"arabidopsis_KAAC_LV",0.0625762609148587
"arabidopsis_KAAC_LW",0.0442178265751891
"arabidopsis_KAAC_LY",0.0305974509811
"arabidopsis_KAAC_MA",0.0239273915626857
"arabidopsis_KAAC_MC",0.0168605514813296
"arabidopsis_KAAC_MD",0.0601301734689224
"arabidopsis_KAAC_ME",0.0347909877649837
"arabidopsis_KAAC_MF",0.0269877480344666
"arabidopsis_KAAC_MG",0.0406475036075036
"arabidopsis_KAAC_MH",0.0153975155279503
"arabidopsis_KAAC_MI",0.0118218605091739
"arabidopsis_KAAC_MK",0.0469716565893329
"arabidopsis_KAAC_ML",0.0369908013623803
"arabidopsis_KAAC_MM",0.0344608450501614
"arabidopsis_KAAC_MN",0.0459558031789614
"arabidopsis_KAAC_MP",0.0313476881494659
"arabidopsis_KAAC_MQ",0.00816825396825397
"arabidopsis_KAAC_MR",0.0290912096650394
"arabidopsis_KAAC_MS",0.0300463245904422
