"","Overall"
"arabidopsis_AC_AC.d.1.BHAR880101",1.01386056419924
"arabidopsis_AC_AC.d.1.BIGC670101",0.601877213480339
"arabidopsis_AC_AC.d.1.CHAM820102",0.308307860721654
"arabidopsis_AC_AC.d.1.CIDH920105",0
"arabidopsis_AC_AC.d.1.GRAR740102",0.344420091984969
"arabidopsis_AC_AC.d.1.KLEP840101",0.339530712637674
"arabidopsis_AC_AC.d.1.KUHL950101",0.510366870917596
"arabidopsis_AC_AC.d.10.BHAR880101",0.451246800004022
"arabidopsis_AC_AC.d.10.BIGC670101",0.243315462630676
"arabidopsis_AC_AC.d.10.CHAM820102",0.575538715949772
"arabidopsis_AC_AC.d.10.CHOC760101",0.57652529802924
"arabidopsis_AC_AC.d.10.CIDH920105",0.514586124963431
"arabidopsis_AC_AC.d.10.GRAR740102",0.192345797892259
"arabidopsis_AC_AC.d.10.KLEP840101",0
"arabidopsis_AC_AC.d.10.KUHL950101",0
"arabidopsis_AC_AC.d.11.BHAR880101",1.03391453026967
"arabidopsis_AC_AC.d.11.BIGC670101",0.708642058941098
"arabidopsis_AC_AC.d.11.CHAM820102",0.376373854931467
"arabidopsis_AC_AC.d.11.CIDH920105",0.463565802858851
"arabidopsis_AC_AC.d.11.GRAR740102",0.102564102564103
"arabidopsis_AC_AC.d.11.KLEP840101",0.606117925085667
"arabidopsis_AC_AC.d.11.KUHL950101",0.219713361072584
"arabidopsis_AC_AC.d.12.BHAR880101",0.123068181818182
"arabidopsis_AC_AC.d.12.BIGC670101",0.393949326892099
"arabidopsis_AC_AC.d.12.CHAM820102",0.561826105403654
"arabidopsis_AC_AC.d.12.CIDH920105",0.546047906552677
"arabidopsis_AC_AC.d.12.GRAR740102",0
"arabidopsis_AC_AC.d.12.KLEP840101",0.175623463294696
"arabidopsis_AC_AC.d.13.BHAR880101",0.201173164088649
"arabidopsis_AC_AC.d.13.BIGC670101",0.416401515151515
"arabidopsis_AC_AC.d.13.CHAM820102",0.591489638005437
"arabidopsis_AC_AC.d.13.CHOC760101",0
"arabidopsis_AC_AC.d.13.CIDH920105",0.501276481872552
"arabidopsis_AC_AC.d.13.GRAR740102",0
"arabidopsis_AC_AC.d.13.KLEP840101",0.768009061321161
"arabidopsis_AC_AC.d.13.KUHL950101",0
"arabidopsis_AC_AC.d.14.BHAR880101",1.04703454666906
"arabidopsis_AC_AC.d.14.BIGC670101",0
"arabidopsis_AC_AC.d.14.CHAM820102",0.841965822299156
"arabidopsis_AC_AC.d.14.CIDH920105",0.286566459092953
"arabidopsis_AC_AC.d.14.GRAR740102",0.351109588851524
"arabidopsis_AC_AC.d.14.KLEP840101",0.888310866677341
"arabidopsis_AC_AC.d.14.KUHL950101",0.412859584859585
"arabidopsis_AC_AC.d.15.BHAR880101",0.245207430340557
"arabidopsis_AC_AC.d.15.BIGC670101",0.431237725938455
"arabidopsis_AC_AC.d.15.CHAM820102",0.054
"arabidopsis_AC_AC.d.15.CIDH920105",0.695269506464701
"arabidopsis_AC_AC.d.15.GRAR740102",0.223810804465219
"arabidopsis_AC_AC.d.15.KLEP840101",0
"arabidopsis_AC_AC.d.15.KUHL950101",0.703718385422847
"arabidopsis_AC_AC.d.16.BHAR880101",0.180748663101604
"arabidopsis_AC_AC.d.16.BIGC670101",0.623735868706898
"arabidopsis_AC_AC.d.16.CHAM820102",0.955874962645049
"arabidopsis_AC_AC.d.16.CIDH920105",1.58706330301918
"arabidopsis_AC_AC.d.16.GRAR740102",0
"arabidopsis_AC_AC.d.16.KLEP840101",0.537762521454205
"arabidopsis_AC_AC.d.16.KUHL950101",0.102564102564103
"arabidopsis_AC_AC.d.17.BHAR880101",0.632190375684216
"arabidopsis_AC_AC.d.17.BIGC670101",0.211353879120187
"arabidopsis_AC_AC.d.17.CHAM820102",0.723575579807803
"arabidopsis_AC_AC.d.17.CHOC760101",0
"arabidopsis_AC_AC.d.17.CIDH920105",1.14715749308163
"arabidopsis_AC_AC.d.17.GRAR740102",0.258133333333333
"arabidopsis_AC_AC.d.17.KLEP840101",0.376918767507003
"arabidopsis_AC_AC.d.17.KUHL950101",0.420377078288943
"arabidopsis_AC_AC.d.18.BHAR880101",0
"arabidopsis_AC_AC.d.18.BIGC670101",0.443117642841781
"arabidopsis_AC_AC.d.18.CHAM820102",0.470318743131926
"arabidopsis_AC_AC.d.18.CHOC760101",1.143709985696
"arabidopsis_AC_AC.d.18.CIDH920105",0.175623463294696
"arabidopsis_AC_AC.d.18.GRAR740102",0.773447518482727
"arabidopsis_AC_AC.d.18.KLEP840101",0.394135034276016
"arabidopsis_AC_AC.d.18.KUHL950101",0.857497002797671
"arabidopsis_AC_AC.d.19.BHAR880101",0.230518934081346
"arabidopsis_AC_AC.d.19.BIGC670101",1.41355997371177
"arabidopsis_AC_AC.d.19.CHAM820102",0
"arabidopsis_AC_AC.d.19.CHOC760101",0.944237640238977
"arabidopsis_AC_AC.d.19.CIDH920105",0.16699864498645
"arabidopsis_AC_AC.d.19.GRAR740102",0.16699864498645
"arabidopsis_AC_AC.d.19.KLEP840101",0.689576466511517
"arabidopsis_AC_AC.d.19.KUHL950101",0
"arabidopsis_AC_AC.d.2.BHAR880101",0.704722340306667
"arabidopsis_AC_AC.d.2.BIGC670101",0.488558617852736
"arabidopsis_AC_AC.d.2.CHAM820102",0
"arabidopsis_AC_AC.d.2.CIDH920105",0.222307692307692
"arabidopsis_AC_AC.d.2.GRAR740102",0.22569696969697
"arabidopsis_AC_AC.d.2.KLEP840101",0.225515151515151
"arabidopsis_AC_AC.d.2.KUHL950101",0.167936507936508
"arabidopsis_AC_AC.d.20.BHAR880101",0.292674807076981
"arabidopsis_AC_AC.d.20.BIGC670101",1.65374081821755
"arabidopsis_AC_AC.d.20.CHAM820101",0.989919710662965
"arabidopsis_AC_AC.d.20.CHAM820102",0.373111341248945
"arabidopsis_AC_AC.d.20.CHOC760101",1.05245102634006
"arabidopsis_AC_AC.d.20.CIDH920105",0.769261153706974
