"","name","score"
"1097","Sringae_KAAC_AA",16.8881542065287
"1","arabidopsis_KAAC_AA",13.603583656264
"1100","Sringae_KAAC_AE",10.102832245823
"1099","Sringae_KAAC_AD",9.4725190468068
"3","arabidopsis_KAAC_AE",9.13575795178985
"4","arabidopsis_KAAC_AF",8.55781856499526
"1102","Sringae_KAAC_AG",8.14395566517513
"5","arabidopsis_KAAC_AG",7.85537015483259
"1101","Sringae_KAAC_AF",7.42561581071995
"440","arabidopsis_AC_AC.d.28.CIDH920105",7.13542948062986
"2","arabidopsis_KAAC_AD",6.85233656750558
"8","arabidopsis_KAAC_AK",6.08998674497935
"1103","Sringae_KAAC_AH",5.80279458783888
"9","arabidopsis_KAAC_AL",5.67252360103749
"1104","Sringae_KAAC_AI",4.78388635447023
"1098","Sringae_KAAC_AC",4.73877283313484
"7","arabidopsis_KAAC_AI",4.63666723964376
"6","arabidopsis_KAAC_AH",4.50549010292582
"1614","Sringae_AC_AC.d.16.BIGC670101",4.28642563087878
"474","arabidopsis_AC_AC.d.20.CHAM820101",4.17960991953345
"15","arabidopsis_KAAC_AS",3.87774291808889
"1493","Sringae_PAAC_P",3.74772145234934
"1110","Sringae_KAAC_AR",3.61225608167292
"399","arabidopsis_PAAC_G",3.59002080627749
"1662","Sringae_AC_AC.d.5.KUHL950101",3.57420416011082
"1105","Sringae_KAAC_AK",3.56861272416329
"1111","Sringae_KAAC_AS",3.51071936674906
"1108","Sringae_KAAC_AP",3.47392491721605
"11","arabidopsis_KAAC_AN",3.42260900340149
"1899","Sringae_CTRI_415",3.39167097049429
"1540","Sringae_AC_AC.d.15.BHAR880101",3.34300920482126
"1661","Sringae_AC_AC.d.4.KUHL950101",3.28648300762967
"1028","arabidopsis_CTD_D.P2.G2.25..",3.28118786988274
"1107","Sringae_KAAC_AN",3.26330220378103
"157","arabidopsis_KAAC_KA",3.25446153443703
"14","arabidopsis_KAAC_AR",3.23458237910219
"2113","Sringae_CTD_D.P6.G2.50..",3.17898041749206
"13","arabidopsis_KAAC_AQ",3.17541160575774
"1496","Sringae_PAAC_S",3.0934360710812
"336","arabidopsis_KAAC_VD",3.0833988528978
"630","arabidopsis_AC_AC.d.23.GRAR740102",3.0647194362133
"1279","Sringae_KAAC_LQ",2.99970432053768
"1701","Sringae_AC_AC.d.16.GRAR740102",2.96404638694502
"1485","Sringae_PAAC_E",2.9519636047912
"1130","Sringae_KAAC_DD",2.94714758193614
"1553","Sringae_AC_AC.d.28.BHAR880101",2.93657846742872
"1646","Sringae_AC_AC.d.19.KLEP840101",2.90673429729157
"407","arabidopsis_PAAC_Q",2.88060285028473
"1637","Sringae_AC_AC.d.9.KLEP840101",2.85152001326441
"420","arabidopsis_AC_AC.d.7.CIDH920105",2.82831740643746
"1106","Sringae_KAAC_AM",2.82801029972118
"1119","Sringae_KAAC_CG",2.82292196968469
"429","arabidopsis_AC_AC.d.16.CIDH920105",2.81859325290148
"1588","Sringae_AC_AC.d.2.CHOC760101",2.81851052166381
"1138","Sringae_KAAC_DM",2.81344949848246
"1677","Sringae_AC_AC.d.22.KUHL950101",2.78899767706104
"1128","Sringae_KAAC_DA",2.77910341322384
"163","arabidopsis_KAAC_KI",2.77597893787949
"538","arabidopsis_AC_AC.d.20.BIGC670101",2.7595225312585
"563","arabidopsis_AC_AC.d.15.KLEP840101",2.74744650016734
"1131","Sringae_KAAC_DE",2.72138881461843
"1501","Sringae_AC_AC.d.1.CIDH920105",2.72050944161407
"505","arabidopsis_AC_AC.d.30.CHAM820102",2.7192334835037
"1505","Sringae_AC_AC.d.5.CIDH920105",2.71570389065606
"2060","Sringae_CTD_D.P1.G3.50..",2.71421152454612
"605","arabidopsis_AC_AC.d.28.KUHL950101",2.70753193839131
"478","arabidopsis_AC_AC.d.3.CHAM820102",2.68422124827554
"1109","Sringae_KAAC_AQ",2.68328874730386
"1051","arabidopsis_CTD_D.P4.G3.25..",2.66898917357827
"1112","Sringae_KAAC_AT",2.6609021788205
"463","arabidopsis_AC_AC.d.21.BHAR880101",2.63695822000392
"1497","Sringae_PAAC_T",2.63252608574058
"1488","Sringae_PAAC_H",2.62106989072589
"1504","Sringae_AC_AC.d.4.CIDH920105",2.62042617227004
"16","arabidopsis_KAAC_AT",2.61183808279952
"1511","Sringae_AC_AC.d.15.CIDH920105",2.60644245647456
"2108","Sringae_CTD_D.P6.G1.50..",2.60514509771563
"537","arabidopsis_AC_AC.d.19.BIGC670101",2.52207433849852
"1524","Sringae_AC_AC.d.29.CIDH920105",2.519898096924
"1623","Sringae_AC_AC.d.25.BIGC670101",2.50229854258086
"484","arabidopsis_AC_AC.d.9.CHAM820102",2.497779233937
"1547","Sringae_AC_AC.d.22.BHAR880101",2.49670375047164
"1545","Sringae_AC_AC.d.20.BHAR880101",2.49584969495228
"87","arabidopsis_KAAC_FL",2.48812415252084
"12","arabidopsis_KAAC_AP",2.48802368202541
"1495","Sringae_PAAC_R",2.47927228732474
"137","arabidopsis_KAAC_IA",2.4784552706261
"1600","Sringae_AC_AC.d.2.BIGC670101",2.47260560645523
"10","arabidopsis_KAAC_AM",2.44539225318507
"2105","Sringae_CTD_D.P5.G3.100..",2.4381535171894
"1896","Sringae_CTRI_412",2.41780850297517
"35","arabidopsis_KAAC_CV",2.40736445134036
"449","arabidopsis_AC_AC.d.7.BHAR880101",2.39117815805186
"1554","Sringae_AC_AC.d.29.BHAR880101",2.38788594834548
"2085","Sringae_CTD_D.P4.G2.50..",2.38252610062159
"1594","Sringae_AC_AC.d.21.CHOC760101",2.36953341900074
"1551","Sringae_AC_AC.d.26.BHAR880101",2.36853630158678
"614","arabidopsis_AC_AC.d.7.GRAR740102",2.35620995642176
"1508","Sringae_AC_AC.d.8.CIDH920105",2.35523198309673
"626","arabidopsis_AC_AC.d.19.GRAR740102",2.34478193643707
"191","arabidopsis_KAAC_LS",2.34206783763697
"858","arabidopsis_CTRI_452",2.34054184744037
"1634","Sringae_AC_AC.d.6.KLEP840101",2.33875932394181
"2059","Sringae_CTD_D.P1.G2.75..",2.33475159145026
"1529","Sringae_AC_AC.d.4.BHAR880101",2.32357224051517
"44","arabidopsis_KAAC_DH",2.32164912906603
"1418","Sringae_KAAC_TR",2.32122686232167
"396","arabidopsis_PAAC_D",2.32007002979656
"510","arabidopsis_AC_AC.d.18.CHOC760101",2.31335367280054
"1631","Sringae_AC_AC.d.3.KLEP840101",2.31110732505126
"1350","Sringae_KAAC_QH",2.29418557800073
"1868","Sringae_CTRI_336",2.29038920778717
"2094","Sringae_CTD_D.P5.G1.75..",2.28555944206978
"622","arabidopsis_AC_AC.d.15.GRAR740102",2.28383285395423
"512","arabidopsis_AC_AC.d.20.CHOC760101",2.28191569272728
"467","arabidopsis_AC_AC.d.25.BHAR880101",2.27446720586279
"1620","Sringae_AC_AC.d.22.BIGC670101",2.27312459921079
"1533","Sringae_AC_AC.d.8.BHAR880101",2.26149821327556
"19","arabidopsis_KAAC_AY",2.25121399370371
"430","arabidopsis_AC_AC.d.17.CIDH920105",2.24291662322413
"1498","Sringae_PAAC_V",2.23893939551962
"539","arabidopsis_AC_AC.d.21.BIGC670101",2.23406404698546
"1605","Sringae_AC_AC.d.7.BIGC670101",2.23323834512926
"1484","Sringae_PAAC_D",2.23244891399775
"491","arabidopsis_AC_AC.d.16.CHAM820102",2.2280859210626
"73","arabidopsis_KAAC_ES",2.22458190965408
"1500","Sringae_PAAC_Y",2.22320224683854
"453","arabidopsis_AC_AC.d.11.BHAR880101",2.21732457763187
"40","arabidopsis_KAAC_DD",2.21670914517253
"456","arabidopsis_AC_AC.d.14.BHAR880101",2.21572812521618
"2058","Sringae_CTD_D.P1.G2.50..",2.21244422321355
"443","arabidopsis_AC_AC.d.1.BHAR880101",2.20728396195005
"1052","arabidopsis_CTD_D.P4.G3.50..",2.20276426317137
"1619","Sringae_AC_AC.d.21.BIGC670101",2.19749778127829
"1136","Sringae_KAAC_DK",2.19027316506057
"1684","Sringae_AC_AC.d.29.KUHL950101",2.17518360837734
"556","arabidopsis_AC_AC.d.8.KLEP840101",2.16299002534975
"1625","Sringae_AC_AC.d.27.BIGC670101",2.1582162998375
"562","arabidopsis_AC_AC.d.14.KLEP840101",2.15603144891497
"436","arabidopsis_AC_AC.d.23.CIDH920105",2.15002812245489
"523","arabidopsis_AC_AC.d.5.BIGC670101",2.14924531092507
"2093","Sringae_CTD_D.P5.G1.50..",2.14899179925259
"2083","Sringae_CTD_D.P4.G2.First.",2.14349996005628
"1066","arabidopsis_CTD_D.P5.G3.50..",2.14188927003837
"572","arabidopsis_AC_AC.d.24.KLEP840101",2.13983327239285
"1531","Sringae_AC_AC.d.6.BHAR880101",2.12849085736788
"1544","Sringae_AC_AC.d.19.BHAR880101",2.12803960707682
"1093","arabidopsis_CTD_D.P7.G3.25..",2.12531169625156
"1666","Sringae_AC_AC.d.11.KUHL950101",2.11650860255001
"554","arabidopsis_AC_AC.d.6.KLEP840101",2.11005553689224
"1113","Sringae_KAAC_AV",2.10607588559252
"1056","arabidopsis_CTD_D.P5.G1.25..",2.09893239304865
"466","arabidopsis_AC_AC.d.24.BHAR880101",2.09795472447065
"1710","Sringae_AC_AC.d.25.GRAR740102",2.09741774690931
"479","arabidopsis_AC_AC.d.4.CHAM820102",2.0972849022335
"1532","Sringae_AC_AC.d.7.BHAR880101",2.09501815302319
"511","arabidopsis_AC_AC.d.19.CHOC760101",2.09417930765134
"17","arabidopsis_KAAC_AV",2.08548710331371
"601","arabidopsis_AC_AC.d.24.KUHL950101",2.0802685317347
"83","arabidopsis_KAAC_FG",2.07079095201736
"1535","Sringae_AC_AC.d.10.BHAR880101",2.06427376046169
"50","arabidopsis_KAAC_DP",2.05757729568296
"1510","Sringae_AC_AC.d.14.CIDH920105",2.05434186824125
"1549","Sringae_AC_AC.d.24.BHAR880101",2.05211205454901
"1530","Sringae_AC_AC.d.5.BHAR880101",2.05087503454256
"1137","Sringae_KAAC_DL",2.04817233510915
"595","arabidopsis_AC_AC.d.18.KUHL950101",2.0447295071124
"1118","Sringae_KAAC_CF",2.04222479831846
"402","arabidopsis_PAAC_K",2.04111609830181
"38","arabidopsis_KAAC_DA",2.0404605360276
"435","arabidopsis_AC_AC.d.22.CIDH920105",2.02115341092331
"1082","arabidopsis_CTD_D.P7.G1.First.",2.01969084770318
"481","arabidopsis_AC_AC.d.6.CHAM820102",2.01957048949744
"26","arabidopsis_KAAC_CK",2.00904864361106
"832","arabidopsis_CTRI_413",2.0009053486241
"872","arabidopsis_CTRI_472",1.99617333831787
"489","arabidopsis_AC_AC.d.14.CHAM820102",1.9798125739227
"2080","Sringae_CTD_D.P4.G1.50..",1.979184108187
"1703","Sringae_AC_AC.d.18.GRAR740102",1.96971430249877
"55","arabidopsis_KAAC_DV",1.9669689768674
"1576","Sringae_AC_AC.d.20.CHAM820102",1.96427017164435
"397","arabidopsis_PAAC_E",1.96341653404938
"392","arabidopsis_KAAC_YW",1.96302600777986
"1032","arabidopsis_CTD_D.P3.G1.25..",1.96172520470209
"2007","Sringae_CTRI_651",1.95761780275063
"1527","Sringae_AC_AC.d.2.BHAR880101",1.95521169949136
"576","arabidopsis_AC_AC.d.28.KLEP840101",1.95316985232235
"1070","arabidopsis_CTD_D.P6.G1.50..",1.9435741870068
"106","arabidopsis_KAAC_GK",1.9430064198161
"1349","Sringae_KAAC_QG",1.94289134958183
"412","arabidopsis_PAAC_W",1.9422400184592
"1125","Sringae_KAAC_CS",1.93534832709448
"183","arabidopsis_KAAC_LI",1.92975957369519
"45","arabidopsis_KAAC_DI",1.92723028993147
"1046","arabidopsis_CTD_D.P4.G2.First.",1.92206861584257
"1615","Sringae_AC_AC.d.17.BIGC670101",1.91602386316964
"1603","Sringae_AC_AC.d.5.BIGC670101",1.91406397697986
"54","arabidopsis_KAAC_DT",1.91316191440983
"1592","Sringae_AC_AC.d.15.CHOC760101",1.9123947302498
"145","arabidopsis_KAAC_IK",1.91128012638071
"57","arabidopsis_KAAC_DY",1.90694148546143
"271","arabidopsis_KAAC_QT",1.90680568183153
"1489","Sringae_PAAC_I",1.90137106806114
"625","arabidopsis_AC_AC.d.18.GRAR740102",1.90131507641097
"2092","Sringae_CTD_D.P5.G1.25..",1.89656666705777
"405","arabidopsis_PAAC_N",1.89545628042378
"1663","Sringae_AC_AC.d.6.KUHL950101",1.8943386764663
"570","arabidopsis_AC_AC.d.22.KLEP840101",1.89275170351662
"43","arabidopsis_KAAC_DG",1.89232453336627
"433","arabidopsis_AC_AC.d.20.CIDH920105",1.89191649685189
"1148","Sringae_KAAC_EA",1.89143617336188
"1536","Sringae_AC_AC.d.11.BHAR880101",1.88998841163153
"1670","Sringae_AC_AC.d.15.KUHL950101",1.88654809079791
"1121","Sringae_KAAC_CL",1.88477851882812
"1487","Sringae_PAAC_G",1.8843725834461
"41","arabidopsis_KAAC_DE",1.882518061725
"561","arabidopsis_AC_AC.d.13.KLEP840101",1.87793309991816
"546","arabidopsis_AC_AC.d.28.BIGC670101",1.87768497649447
"502","arabidopsis_AC_AC.d.27.CHAM820102",1.87126628012598
"492","arabidopsis_AC_AC.d.17.CHAM820102",1.86621033203435
"403","arabidopsis_PAAC_L",1.8661785349167
"179","arabidopsis_KAAC_LE",1.86585138591935
"1089","arabidopsis_CTD_D.P7.G2.50..",1.86563912671012
"627","arabidopsis_AC_AC.d.20.GRAR740102",1.85875485800242
"1541","Sringae_AC_AC.d.16.BHAR880101",1.85846662909766
"1180","Sringae_KAAC_FQ",1.85719277729341
"1676","Sringae_AC_AC.d.21.KUHL950101",1.85414495114392
"1610","Sringae_AC_AC.d.12.BIGC670101",1.85197942442441
"1956","Sringae_CTRI_535",1.84995345642294
"573","arabidopsis_AC_AC.d.25.KLEP840101",1.84972781356663
"1351","Sringae_KAAC_QI",1.84939177184985
"418","arabidopsis_AC_AC.d.5.CIDH920105",1.84751856495311
"616","arabidopsis_AC_AC.d.9.GRAR740102",1.84682903492886
"245","arabidopsis_KAAC_PL",1.845481313853
"585","arabidopsis_AC_AC.d.7.KUHL950101",1.84414930075197
"521","arabidopsis_AC_AC.d.3.BIGC670101",1.84283673569152
"2121","Sringae_CTD_D.P7.G1.First.",1.84279138831683
"1607","Sringae_AC_AC.d.9.BIGC670101",1.84034374387278
"529","arabidopsis_AC_AC.d.11.BIGC670101",1.83938927664983
"1580","Sringae_AC_AC.d.24.CHAM820102",1.83851180865096
"2123","Sringae_CTD_D.P7.G1.50..",1.83792393280266
"21","arabidopsis_KAAC_CC",1.83783749485818
"534","arabidopsis_AC_AC.d.16.BIGC670101",1.83336219519688
"1091","arabidopsis_CTD_D.P7.G2.100..",1.83294774994125
"428","arabidopsis_AC_AC.d.15.CIDH920105",1.83041781388356
"1542","Sringae_AC_AC.d.17.BHAR880101",1.82613352239911
"1513","Sringae_AC_AC.d.18.CIDH920105",1.82579259830512
"421","arabidopsis_AC_AC.d.8.CIDH920105",1.8257723762933
"1638","Sringae_AC_AC.d.11.KLEP840101",1.82456792176622
"592","arabidopsis_AC_AC.d.15.KUHL950101",1.82297338621893
"807","arabidopsis_CTRI_345",1.82074905928156
"1163","Sringae_KAAC_ET",1.81861172205009
"1599","Sringae_AC_AC.d.1.BIGC670101",1.81853105143101
"1913","Sringae_CTRI_435",1.81744484294746
"567","arabidopsis_AC_AC.d.19.KLEP840101",1.81707048091528
"301","arabidopsis_KAAC_SI",1.81575199703958
"1143","Sringae_KAAC_DS",1.81215585126213
"1557","Sringae_AC_AC.d.1.CHAM820102",1.81077239443146
"1560","Sringae_AC_AC.d.4.CHAM820102",1.80766238641161
"551","arabidopsis_AC_AC.d.3.KLEP840101",1.80629371101335
"497","arabidopsis_AC_AC.d.22.CHAM820102",1.80628689281994
"1648","Sringae_AC_AC.d.21.KLEP840101",1.80531713891175
"413","arabidopsis_PAAC_Y",1.80402561259548
"2122","Sringae_CTD_D.P7.G1.25..",1.80224020719772
"1420","Sringae_KAAC_TT",1.80207916522661
"1058","arabidopsis_CTD_D.P5.G1.75..",1.80022342828315
"569","arabidopsis_AC_AC.d.21.KLEP840101",1.80006516684543
"444","arabidopsis_AC_AC.d.2.BHAR880101",1.79933343438351
"1072","arabidopsis_CTD_D.P6.G2.First.",1.79888819033024
"1506","Sringae_AC_AC.d.6.CIDH920105",1.79734720877194
"1627","Sringae_AC_AC.d.29.BIGC670101",1.79674357503417
"459","arabidopsis_AC_AC.d.17.BHAR880101",1.79037331433621
"1057","arabidopsis_CTD_D.P5.G1.50..",1.78732001459126
"584","arabidopsis_AC_AC.d.6.KUHL950101",1.78442174257805
"1482","Sringae_PAAC_A",1.78414196794616
"1494","Sringae_PAAC_Q",1.78240920407177
"1503","Sringae_AC_AC.d.3.CIDH920105",1.78213689141211
"1366","Sringae_KAAC_RD",1.77981970718591
"1526","Sringae_AC_AC.d.1.BHAR880101",1.7791400175545
"287","arabidopsis_KAAC_RQ",1.77390846461021
"22","arabidopsis_KAAC_CE",1.77194865306056
"662","arabidopsis_SAAC_M_Q",1.76846931556018
"1654","Sringae_AC_AC.d.27.KLEP840101",1.76545013977688
"635","arabidopsis_AC_AC.d.28.GRAR740102",1.76439008573526
"1074","arabidopsis_CTD_D.P6.G2.50..",1.76430212177645
"1126","Sringae_KAAC_CV",1.76222465821521
"488","arabidopsis_AC_AC.d.13.CHAM820102",1.75796898427667
"60","arabidopsis_KAAC_ED",1.75756646738438
"1658","Sringae_AC_AC.d.1.KUHL950101",1.75611250881725
"1706","Sringae_AC_AC.d.21.GRAR740102",1.75610944353133
"2061","Sringae_CTD_D.P1.G3.75..",1.75352963300304
"1084","arabidopsis_CTD_D.P7.G1.50..",1.75312192874165
"120","arabidopsis_KAAC_HD",1.7508645099691
"2109","Sringae_CTD_D.P6.G1.75..",1.7505826823775
"1558","Sringae_AC_AC.d.2.CHAM820102",1.74883494628284
"519","arabidopsis_AC_AC.d.1.BIGC670101",1.74811869936405
"634","arabidopsis_AC_AC.d.27.GRAR740102",1.74653967251983
"2095","Sringae_CTD_D.P5.G1.100..",1.74591915284899
"1690","Sringae_AC_AC.d.5.GRAR740102",1.74574071482229
"1190","Sringae_KAAC_GE",1.74250885842949
"1582","Sringae_AC_AC.d.26.CHAM820102",1.74143887715736
"1591","Sringae_AC_AC.d.14.CHOC760101",1.74047698006336
"1693","Sringae_AC_AC.d.8.GRAR740102",1.73909860377338
"2117","Sringae_CTD_D.P6.G3.25..",1.73837606668775
"2112","Sringae_CTD_D.P6.G2.25..",1.73713066663141
"142","arabidopsis_KAAC_IG",1.73599420877252
"487","arabidopsis_AC_AC.d.12.CHAM820102",1.7358176728468
"1653","Sringae_AC_AC.d.26.KLEP840101",1.7342244980568
"515","arabidopsis_AC_AC.d.23.CHOC760101",1.73323439320781
"559","arabidopsis_AC_AC.d.11.KLEP840101",1.73240300418364
"1700","Sringae_AC_AC.d.15.GRAR740102",1.72956163434554
"503","arabidopsis_AC_AC.d.28.CHAM820102",1.72632676412218
"1162","Sringae_KAAC_ES",1.72547118608134
"62","arabidopsis_KAAC_EF",1.72508795053045
"485","arabidopsis_AC_AC.d.10.CHAM820102",1.72079018614437
"1075","arabidopsis_CTD_D.P6.G2.75..",1.71954797431088
"23","arabidopsis_KAAC_CF",1.71539163305174
"65","arabidopsis_KAAC_EI",1.71129464085362
"1115","Sringae_KAAC_AY",1.70614808778955
"1657","Sringae_AC_AC.d.30.KLEP840101",1.70402955766244
"114","arabidopsis_KAAC_GT",1.7039838403806
"425","arabidopsis_AC_AC.d.12.CIDH920105",1.70061434944163
"1515","Sringae_AC_AC.d.20.CIDH920105",1.70014719783286
"1624","Sringae_AC_AC.d.26.BIGC670101",1.70001370829947
"1194","Sringae_KAAC_GI",1.69709774805047
"507","arabidopsis_AC_AC.d.10.CHOC760101",1.6966744673166
"578","arabidopsis_AC_AC.d.30.KLEP840101",1.69627762550986
"1141","Sringae_KAAC_DQ",1.6961912559558
"541","arabidopsis_AC_AC.d.23.BIGC670101",1.69389981963326
"686","arabidopsis_CTRI_111",1.68897847195411
"1156","Sringae_KAAC_EL",1.68864190789465
"1931","Sringae_CTRI_463",1.68755067812414
"557","arabidopsis_AC_AC.d.9.KLEP840101",1.6866352030678
"1577","Sringae_AC_AC.d.21.CHAM820102",1.68423799366881
"92","arabidopsis_KAAC_FR",1.6836705920503
"1240","Sringae_KAAC_IQ",1.6795351982541
"133","arabidopsis_KAAC_HT",1.6790958649891
"39","arabidopsis_KAAC_DC",1.67807477423437
"1715","Sringae_AC_AC.d.30.GRAR740102",1.6778398185682
"1220","Sringae_KAAC_HQ",1.67709688477283
"1660","Sringae_AC_AC.d.3.KUHL950101",1.67640498164407
"61","arabidopsis_KAAC_EE",1.67094316790979
"2106","Sringae_CTD_D.P6.G1.First.",1.67079949041007
"2065","Sringae_CTD_D.P2.G2.First.",1.6685492846939
"2127","Sringae_CTD_D.P7.G2.25..",1.66760751246648
"1651","Sringae_AC_AC.d.24.KLEP840101",1.66720113058952
"2110","Sringae_CTD_D.P6.G1.100..",1.66140273285121
"274","arabidopsis_KAAC_QY",1.66119155722591
"1142","Sringae_KAAC_DR",1.66001032073826
"1538","Sringae_AC_AC.d.13.BHAR880101",1.65858480411889
"520","arabidopsis_AC_AC.d.2.BIGC670101",1.65848449575543
"1969","Sringae_CTRI_555",1.6574608934799
"527","arabidopsis_AC_AC.d.9.BIGC670101",1.65711809428413
"2118","Sringae_CTD_D.P6.G3.50..",1.65642144276729
"1333","Sringae_KAAC_PL",1.65059489739911
"665","arabidopsis_SAAC_M_Y",1.65027245507575
"1523","Sringae_AC_AC.d.28.CIDH920105",1.64988795087969
"2073","Sringae_CTD_D.P3.G2.25..",1.64953998876263
"33","arabidopsis_KAAC_CS",1.64845427408828
"24","arabidopsis_KAAC_CH",1.64665300594565
"2075","Sringae_CTD_D.P3.G2.75..",1.64596219127284
"1595","Sringae_AC_AC.d.22.CHOC760101",1.64411355116522
"721","arabidopsis_CTRI_161",1.64166634682702
"1851","Sringae_CTRI_313",1.64013357240508
"18","arabidopsis_KAAC_AW",1.63902173081105
"423","arabidopsis_AC_AC.d.10.CIDH920105",1.63884446521477
"579","arabidopsis_AC_AC.d.1.KUHL950101",1.63802184446725
"473","arabidopsis_AC_AC.d.9.CHAM820101",1.63776281033044
"1573","Sringae_AC_AC.d.17.CHAM820102",1.6377621316204
"426","arabidopsis_AC_AC.d.13.CIDH920105",1.63468593976262
"587","arabidopsis_AC_AC.d.9.KUHL950101",1.63428160847992
"1184","Sringae_KAAC_FV",1.63353082734651
"564","arabidopsis_AC_AC.d.16.KLEP840101",1.63299555375929
"1223","Sringae_KAAC_HT",1.63139251975696
"1094","arabidopsis_CTD_D.P7.G3.50..",1.62915924442046
"501","arabidopsis_AC_AC.d.26.CHAM820102",1.62683802743838
"1520","Sringae_AC_AC.d.25.CIDH920105",1.62518860360083
"394","arabidopsis_PAAC_A",1.62264659060335
"439","arabidopsis_AC_AC.d.26.CIDH920105",1.62178334237011
"1413","Sringae_KAAC_TL",1.6208468117956
"1598","Sringae_AC_AC.d.30.CHOC760101",1.61991848138217
"71","arabidopsis_KAAC_EQ",1.6190851499206
"1702","Sringae_AC_AC.d.17.GRAR740102",1.61827746747411
"547","arabidopsis_AC_AC.d.29.BIGC670101",1.6162791252273
"1713","Sringae_AC_AC.d.28.GRAR740102",1.61624331294597
"878","arabidopsis_CTRI_511",1.6159049341678
"48","arabidopsis_KAAC_DM",1.61480315703312
"357","arabidopsis_KAAC_WE",1.61475557222978
"406","arabidopsis_PAAC_P",1.61395988873677
"67","arabidopsis_KAAC_EL",1.61282752117028
"1040","arabidopsis_CTD_D.P3.G2.100..",1.61232310821478
"187","arabidopsis_KAAC_LN",1.61188679481011
"36","arabidopsis_KAAC_CW",1.61168532713899
"1067","arabidopsis_CTD_D.P5.G3.75..",1.60828666151
"100","arabidopsis_KAAC_GD",1.6071441601951
"1095","arabidopsis_CTD_D.P7.G3.75..",1.606173091053
"1133","Sringae_KAAC_DG",1.60576802882606
"770","arabidopsis_CTRI_261",1.60257720234202
"1565","Sringae_AC_AC.d.9.CHAM820102",1.60249538568792
"368","arabidopsis_KAAC_WR",1.60095796704155
"1150","Sringae_KAAC_EE",1.60060053310109
"1583","Sringae_AC_AC.d.27.CHAM820102",1.60035631755295
"1318","Sringae_KAAC_NR",1.59996027821269
"452","arabidopsis_AC_AC.d.10.BHAR880101",1.59911025583507
"178","arabidopsis_KAAC_LD",1.59836081983481
"20","arabidopsis_KAAC_CA",1.59796712117339
"933","arabidopsis_CTRI_622",1.59586639142103
"504","arabidopsis_AC_AC.d.29.CHAM820102",1.59308765504092
"1255","Sringae_KAAC_KL",1.59252454581845
"1519","Sringae_AC_AC.d.24.CIDH920105",1.59251067356764
"338","arabidopsis_KAAC_VF",1.59143153031163
"468","arabidopsis_AC_AC.d.26.BHAR880101",1.59003336307563
"1492","Sringae_PAAC_N",1.58930286357114
"1681","Sringae_AC_AC.d.26.KUHL950101",1.58796229557233
"445","arabidopsis_AC_AC.d.3.BHAR880101",1.58795089530447
"263","arabidopsis_KAAC_QI",1.58658475915964
"1633","Sringae_AC_AC.d.5.KLEP840101",1.585731585144
"151","arabidopsis_KAAC_IR",1.58486223004394
