"","name","score"
"1707","Sringae_AC_AC.d.9.GRAR740102",23.6546453336643
"1101","Sringae_KAAC_AA",9.55330327152767
"1517","Sringae_AC_AC.d.9.CIDH920105",9.16236082677625
"1726","Sringae_AC_AC.d.28.GRAR740102",6.98812980679804
"1097","arabidopsis_CTD_D.P7.G3.25..",6.66555997409887
"550","arabidopsis_AC_AC.d.1.KLEP840101",6.66059516283616
"1505","Sringae_PAAC_T",6.33428683842136
"1678","Sringae_AC_AC.d.9.KUHL950101",6.20870382082431
"1106","Sringae_KAAC_AG",5.86538354105675
"1","arabidopsis_KAAC_AA",5.74675163327031
"516","arabidopsis_AC_AC.d.24.CHOC760101",5.70808210427217
"1103","Sringae_KAAC_AD",5.47148475626703
"1104","Sringae_KAAC_AE",5.29551949487222
"543","arabidopsis_AC_AC.d.24.BIGC670101",5.27641728738335
"1592","Sringae_AC_AC.d.25.CHAM820102",5.27418085537757
"1529","Sringae_AC_AC.d.23.CIDH920105",4.99986222636176
"507","arabidopsis_AC_AC.d.11.CHOC760101",4.94523144837182
"1643","Sringae_AC_AC.d.4.KLEP840101",4.84336735042694
"1673","Sringae_AC_AC.d.4.KUHL950101",4.82084540979265
"1099","arabidopsis_CTD_D.P7.G3.75..",4.75426338023082
"4","arabidopsis_KAAC_AE",4.75281078753737
"1545","Sringae_AC_AC.d.9.BHAR880101",4.74733127804719
"1155","Sringae_KAAC_EA",4.59456340436077
"3","arabidopsis_KAAC_AD",4.47245550325184
"401","arabidopsis_PAAC_I",4.42733892410871
"455","arabidopsis_AC_AC.d.13.BHAR880101",4.40780609306817
"1534","Sringae_AC_AC.d.28.CIDH920105",4.40407328333137
"418","arabidopsis_AC_AC.d.5.CIDH920105",4.20376974586396
"2136","Sringae_CTD_D.P6.G3.50..",4.05212516676369
"1105","Sringae_KAAC_AF",3.96354728934238
"396","arabidopsis_PAAC_D",3.90658106028854
"1491","Sringae_PAAC_D",3.90335466997708
"1777","Sringae_CTRI_114",3.78752508747421
"1108","Sringae_KAAC_AI",3.72990646419002
"298","arabidopsis_KAAC_SE",3.72778209658069
"721","arabidopsis_CTRI_161",3.69971329027564
"1611","Sringae_AC_AC.d.2.BIGC670101",3.68057184048774
"463","arabidopsis_AC_AC.d.21.BHAR880101",3.65104748215774
"1102","Sringae_KAAC_AC",3.62717366620031
"6","arabidopsis_KAAC_AG",3.62308276652891
"1699","Sringae_AC_AC.d.1.GRAR740102",3.61142529054714
"5","arabidopsis_KAAC_AF",3.60820165810021
"15","arabidopsis_KAAC_AR",3.60693624818582
"593","arabidopsis_AC_AC.d.15.KUHL950101",3.59717369728599
"600","arabidopsis_AC_AC.d.22.KUHL950101",3.58692244953363
"9","arabidopsis_KAAC_AK",3.53832910811122
"1723","Sringae_AC_AC.d.25.GRAR740102",3.52726683004881
"1107","Sringae_KAAC_AH",3.50399090421454
"2126","Sringae_CTD_D.P6.G1.50..",3.474204373522
"577","arabidopsis_AC_AC.d.28.KLEP840101",3.45680559176041
"1747","Sringae_SAAC_M_C",3.44250741859825
