"","Overall"
"arabidopsis_AC_AC.d.1.BHAR880101",0
"arabidopsis_AC_AC.d.1.BIGC670101",0
"arabidopsis_AC_AC.d.1.CHAM820102",0
"arabidopsis_AC_AC.d.1.CIDH920105",0
"arabidopsis_AC_AC.d.1.GRAR740102",0
"arabidopsis_AC_AC.d.1.KLEP840101",0.34016198842734
"arabidopsis_AC_AC.d.1.KUHL950101",0
"arabidopsis_AC_AC.d.10.BHAR880101",0
"arabidopsis_AC_AC.d.10.BIGC670101",0.0668891511658669
"arabidopsis_AC_AC.d.10.CHAM820102",0
"arabidopsis_AC_AC.d.10.CHOC760101",0
"arabidopsis_AC_AC.d.10.CIDH920105",0
"arabidopsis_AC_AC.d.10.GRAR740102",0
"arabidopsis_AC_AC.d.10.KLEP840101",0
"arabidopsis_AC_AC.d.10.KUHL950101",0.124164403994674
"arabidopsis_AC_AC.d.11.BHAR880101",0.68279719662492
"arabidopsis_AC_AC.d.11.BIGC670101",0
"arabidopsis_AC_AC.d.11.CHAM820102",0.308261811352372
"arabidopsis_AC_AC.d.11.CHOC760101",0.631475542062799
"arabidopsis_AC_AC.d.11.CIDH920105",0.116319100163016
"arabidopsis_AC_AC.d.11.GRAR740102",0
"arabidopsis_AC_AC.d.11.KLEP840101",0
"arabidopsis_AC_AC.d.11.KUHL950101",0.177121464541059
"arabidopsis_AC_AC.d.12.BHAR880101",0
"arabidopsis_AC_AC.d.12.BIGC670101",0
"arabidopsis_AC_AC.d.12.CHAM820102",0.307040000574017
"arabidopsis_AC_AC.d.12.CIDH920105",0
"arabidopsis_AC_AC.d.12.GRAR740102",0
"arabidopsis_AC_AC.d.12.KLEP840101",0.393230054924617
"arabidopsis_AC_AC.d.13.BHAR880101",0.984701036922152
"arabidopsis_AC_AC.d.13.BIGC670101",0
"arabidopsis_AC_AC.d.13.CHAM820102",0
"arabidopsis_AC_AC.d.13.CHOC760101",0
"arabidopsis_AC_AC.d.13.CIDH920105",0.294348475239924
"arabidopsis_AC_AC.d.13.GRAR740102",0
"arabidopsis_AC_AC.d.13.KLEP840101",0
"arabidopsis_AC_AC.d.13.KUHL950101",0
"arabidopsis_AC_AC.d.14.BHAR880101",0.18481812581457
"arabidopsis_AC_AC.d.14.BIGC670101",0
"arabidopsis_AC_AC.d.14.CHAM820102",0
"arabidopsis_AC_AC.d.14.CIDH920105",0
"arabidopsis_AC_AC.d.14.GRAR740102",0
"arabidopsis_AC_AC.d.14.KLEP840101",0.346707664137788
"arabidopsis_AC_AC.d.14.KUHL950101",0
"arabidopsis_AC_AC.d.15.BHAR880101",0.42963831603847
"arabidopsis_AC_AC.d.15.BIGC670101",0
"arabidopsis_AC_AC.d.15.CHAM820102",0
"arabidopsis_AC_AC.d.15.CHOC760101",0
"arabidopsis_AC_AC.d.15.CIDH920105",0
"arabidopsis_AC_AC.d.15.GRAR740102",0
"arabidopsis_AC_AC.d.15.KLEP840101",0
"arabidopsis_AC_AC.d.15.KUHL950101",0.152895829649172
"arabidopsis_AC_AC.d.16.BHAR880101",0
"arabidopsis_AC_AC.d.16.BIGC670101",0
"arabidopsis_AC_AC.d.16.CHAM820102",0
"arabidopsis_AC_AC.d.16.CIDH920105",0.107853797825456
"arabidopsis_AC_AC.d.16.GRAR740102",0
"arabidopsis_AC_AC.d.16.KLEP840101",0
"arabidopsis_AC_AC.d.16.KUHL950101",0.228131891360879
"arabidopsis_AC_AC.d.17.BHAR880101",0.305937075116375
"arabidopsis_AC_AC.d.17.BIGC670101",0
