"","interaction","noninteraction"
"arabidopsis_KAAC_AA",0.500528785775663,0.500528785775663
"arabidopsis_KAAC_AC",0.54507898737524,0.54507898737524
"arabidopsis_KAAC_AD",0.593099345627603,0.593099345627603
"arabidopsis_KAAC_AE",0.500429638442726,0.500429638442726
"arabidopsis_KAAC_AF",0.500793178663494,0.500793178663494
"arabidopsis_KAAC_AG",0.504527728204111,0.504527728204111
"arabidopsis_KAAC_AH",0.51219512195122,0.51219512195122
"arabidopsis_KAAC_AI",0.51401282305506,0.51401282305506
"arabidopsis_KAAC_AK",0.50793178663494,0.50793178663494
"arabidopsis_KAAC_AL",0.512426465728072,0.512426465728072
"arabidopsis_KAAC_AM",0.557769845991143,0.557769845991143
"arabidopsis_KAAC_AN",0.523564016127966,0.523564016127966
"arabidopsis_KAAC_AP",0.551986251569833,0.551986251569833
"arabidopsis_KAAC_AQ",0.519532024588539,0.519532024588539
"arabidopsis_KAAC_AR",0.524522440346355,0.524522440346355
"arabidopsis_KAAC_AS",0.546367902703417,0.546367902703417
"arabidopsis_KAAC_AT",0.501388062661114,0.501388062661114
"arabidopsis_KAAC_AV",0.527133320113689,0.527133320113689
"arabidopsis_KAAC_AW",0.516524555489457,0.516524555489457
"arabidopsis_KAAC_AY",0.512889153281777,0.512889153281777
"arabidopsis_KAAC_CA",0.514111970387997,0.514111970387997
"arabidopsis_KAAC_CC",0.507403000859277,0.507403000859277
"arabidopsis_KAAC_CE",0.529083217661445,0.529083217661445
"arabidopsis_KAAC_CF",0.50912155463018,0.50912155463018
"arabidopsis_KAAC_CH",0.541278339612664,0.541278339612664
"arabidopsis_KAAC_CI",0.531198360764095,0.531198360764095
"arabidopsis_KAAC_CK",0.512690858615903,0.512690858615903
"arabidopsis_KAAC_CL",0.530669574988433,0.530669574988433
"arabidopsis_KAAC_CM",0.524390243902439,0.524390243902439
"arabidopsis_KAAC_CN",0.540749553837002,0.540749553837002
"arabidopsis_KAAC_CP",0.527298565668583,0.527298565668583
"arabidopsis_KAAC_CQ",0.50518871042369,0.50518871042369
"arabidopsis_KAAC_CR",0.530636525877454,0.530636525877454
"arabidopsis_KAAC_CS",0.504957366646837,0.504957366646837
"arabidopsis_KAAC_CT",0.503602353096702,0.503602353096702
"arabidopsis_KAAC_CV",0.518639698592108,0.518639698592108
"arabidopsis_KAAC_CW",0.556910569105691,0.556910569105691
"arabidopsis_KAAC_CY",0.514872099940512,0.514872099940512
"arabidopsis_KAAC_DA",0.502015995769714,0.502015995769714
"arabidopsis_KAAC_DC",0.50974948773878,0.50974948773878
"arabidopsis_KAAC_DD",0.527926498777183,0.527926498777183
"arabidopsis_KAAC_DE",0.527860400555225,0.527860400555225
"arabidopsis_KAAC_DF",0.56821336506048,0.56821336506048
"arabidopsis_KAAC_DG",0.539989424284487,0.539989424284487
"arabidopsis_KAAC_DH",0.527893449666204,0.527893449666204
"arabidopsis_KAAC_DI",0.500429638442726,0.500429638442726
"arabidopsis_KAAC_DK",0.573435124595148,0.573435124595148
"arabidopsis_KAAC_DL",0.563619538634411,0.563619538634411
"arabidopsis_KAAC_DM",0.567122744398176,0.567122744398176
"arabidopsis_KAAC_DN",0.541278339612664,0.541278339612664
"arabidopsis_KAAC_DP",0.566792253288387,0.566792253288387
"arabidopsis_KAAC_DQ",0.515136492828343,0.515136492828343
"arabidopsis_KAAC_DR",0.584605724106022,0.584605724106022
"arabidopsis_KAAC_DS",0.505320906867605,0.505320906867605
"arabidopsis_KAAC_DT",0.507865688412982,0.507865688412982
"arabidopsis_KAAC_DV",0.579218719016458,0.579218719016458
"arabidopsis_KAAC_DW",0.520424350584969,0.520424350584969
"arabidopsis_KAAC_DY",0.510476568180316,0.510476568180316
"arabidopsis_KAAC_EA",0.562165377751338,0.562165377751338
"arabidopsis_KAAC_EC",0.501057571551325,0.501057571551325
"arabidopsis_KAAC_ED",0.521052283693569,0.521052283693569
"arabidopsis_KAAC_EE",0.52891797210655,0.52891797210655
"arabidopsis_KAAC_EF",0.544186661378809,0.544186661378809
"arabidopsis_KAAC_EG",0.529116266772424,0.529116266772424
"arabidopsis_KAAC_EH",0.548582193139005,0.548582193139005
"arabidopsis_KAAC_EI",0.524522440346355,0.524522440346355
"arabidopsis_KAAC_EK",0.518441403926234,0.518441403926234
"arabidopsis_KAAC_EL",0.518507502148192,0.518507502148192
"arabidopsis_KAAC_EM",0.51338488994646,0.51338488994646
"arabidopsis_KAAC_EN",0.515599180382048,0.515599180382048
"arabidopsis_KAAC_EP",0.501123669773283,0.501123669773283
"arabidopsis_KAAC_EQ",0.535957432745059,0.535957432745059
"arabidopsis_KAAC_ER",0.526571485227047,0.526571485227047
"arabidopsis_KAAC_ES",0.52891797210655,0.52891797210655
"arabidopsis_KAAC_ET",0.616068477757948,0.616068477757948
"arabidopsis_KAAC_EV",0.548483045806068,0.548483045806068
"arabidopsis_KAAC_EW",0.515400885716174,0.515400885716174
"arabidopsis_KAAC_EY",0.525712208341596,0.525712208341596
"arabidopsis_KAAC_FA",0.556844470883733,0.556844470883733
"arabidopsis_KAAC_FC",0.515202591050301,0.515202591050301
"arabidopsis_KAAC_FD",0.551292220239276,0.551292220239276
"arabidopsis_KAAC_FE",0.563817833300284,0.563817833300284
"arabidopsis_KAAC_FF",0.525414766342785,0.525414766342785
"arabidopsis_KAAC_FG",0.51004692973759,0.51004692973759
"arabidopsis_KAAC_FH",0.566891400621323,0.566891400621323
"arabidopsis_KAAC_FI",0.546070460704607,0.546070460704607
"arabidopsis_KAAC_FK",0.504891268424879,0.504891268424879
"arabidopsis_KAAC_FL",0.51553308216009,0.51553308216009
"arabidopsis_KAAC_FM",0.502974419988102,0.502974419988102
"arabidopsis_KAAC_FN",0.526141846784322,0.526141846784322
"arabidopsis_KAAC_FP",0.515037345495406,0.515037345495406
"arabidopsis_KAAC_FQ",0.513748430167228,0.513748430167228
"arabidopsis_KAAC_FR",0.507039460638509,0.507039460638509
"arabidopsis_KAAC_FS",0.538832705400225,0.538832705400225
"arabidopsis_KAAC_FT",0.500198294665874,0.500198294665874
"arabidopsis_KAAC_FV",0.560678167757287,0.560678167757287
"arabidopsis_KAAC_FW",0.508625817965497,0.508625817965497
"arabidopsis_KAAC_FY",0.502676977989292,0.502676977989292
"arabidopsis_KAAC_GA",0.589860532751669,0.589860532751669
"arabidopsis_KAAC_GC",0.51308744794765,0.51308744794765
"arabidopsis_KAAC_GD",0.502974419988102,0.502974419988102
"arabidopsis_KAAC_GE",0.550631238019697,0.550631238019697
"arabidopsis_KAAC_GF",0.509881684182695,0.509881684182695
"arabidopsis_KAAC_GG",0.52224205168881,0.52224205168881
"arabidopsis_KAAC_GH",0.523167426796219,0.523167426796219
"arabidopsis_KAAC_GI",0.500528785775663,0.500528785775663
"arabidopsis_KAAC_GK",0.571617423491308,0.571617423491308
"arabidopsis_KAAC_GL",0.503800647762575,0.503800647762575
"arabidopsis_KAAC_GM",0.530834820543327,0.530834820543327
"arabidopsis_KAAC_GN",0.502313437768524,0.502313437768524
"arabidopsis_KAAC_GP",0.571650472602287,0.571650472602287
"arabidopsis_KAAC_GQ",0.519234582589728,0.519234582589728
"arabidopsis_KAAC_GR",0.504990415757816,0.504990415757816
"arabidopsis_KAAC_GS",0.581135567453235,0.581135567453235
"arabidopsis_KAAC_GT",0.526439288783132,0.526439288783132
"arabidopsis_KAAC_GV",0.526637583449005,0.526637583449005
"arabidopsis_KAAC_GW",0.516260162601626,0.516260162601626
"arabidopsis_KAAC_GY",0.508130081300813,0.508130081300813
"arabidopsis_KAAC_HA",0.521514971247274,0.521514971247274
"arabidopsis_KAAC_HC",0.535395597858418,0.535395597858418
"arabidopsis_KAAC_HD",0.503536254874744,0.503536254874744
"arabidopsis_KAAC_HE",0.532355079648357,0.532355079648357
"arabidopsis_KAAC_HF",0.508625817965497,0.508625817965497
"arabidopsis_KAAC_HG",0.512393416617093,0.512393416617093
"arabidopsis_KAAC_HH",0.533049110978915,0.533049110978915
"arabidopsis_KAAC_HI",0.501784651992861,0.501784651992861
"arabidopsis_KAAC_HK",0.529215414105361,0.529215414105361
"arabidopsis_KAAC_HL",0.504031991539428,0.504031991539428
"arabidopsis_KAAC_HM",0.510509617291295,0.510509617291295
"arabidopsis_KAAC_HN",0.523927556348734,0.523927556348734
"arabidopsis_KAAC_HQ",0.501652455548946,0.501652455548946
"arabidopsis_KAAC_HR",0.550432943353824,0.550432943353824
"arabidopsis_KAAC_HS",0.536089629188975,0.536089629188975
"arabidopsis_KAAC_HT",0.520490448806927,0.520490448806927
"arabidopsis_KAAC_HV",0.544517152488598,0.544517152488598
"arabidopsis_KAAC_HW",0.528455284552846,0.528455284552846
"arabidopsis_KAAC_HY",0.525249520787891,0.525249520787891
"arabidopsis_KAAC_IA",0.503205763764955,0.503205763764955
"arabidopsis_KAAC_IC",0.541972370943222,0.541972370943222
"arabidopsis_KAAC_ID",0.524125851014608,0.524125851014608
"arabidopsis_KAAC_IE",0.5054861524225,0.5054861524225
"arabidopsis_KAAC_IF",0.501123669773283,0.501123669773283
"arabidopsis_KAAC_IG",0.531760195650737,0.531760195650737
"arabidopsis_KAAC_IH",0.581697402339877,0.581697402339877
"arabidopsis_KAAC_II",0.523299623240135,0.523299623240135
"arabidopsis_KAAC_IK",0.514244166831912,0.514244166831912
"arabidopsis_KAAC_IL",0.531859342983674,0.531859342983674
"arabidopsis_KAAC_IM",0.560116332870646,0.560116332870646
"arabidopsis_KAAC_IN",0.533875338753388,0.533875338753388
"arabidopsis_KAAC_IP",0.535990481856038,0.535990481856038
"arabidopsis_KAAC_IQ",0.540782602947981,0.540782602947981
"arabidopsis_KAAC_IR",0.525480864564743,0.525480864564743
"arabidopsis_KAAC_IS",0.517086390376099,0.517086390376099
"arabidopsis_KAAC_IT",0.540154669839381,0.540154669839381
"arabidopsis_KAAC_IV",0.510939255734021,0.510939255734021
"arabidopsis_KAAC_IW",0.51219512195122,0.51219512195122
"arabidopsis_KAAC_IY",0.560612069535329,0.560612069535329
"arabidopsis_KAAC_KA",0.56424747174301,0.56424747174301
"arabidopsis_KAAC_KD",0.553506510674863,0.553506510674863
"arabidopsis_KAAC_KE",0.544979840042303,0.544979840042303
"arabidopsis_KAAC_KF",0.557902042435058,0.557902042435058
"arabidopsis_KAAC_KG",0.55664617621786,0.55664617621786
"arabidopsis_KAAC_KH",0.525679159230617,0.525679159230617
"arabidopsis_KAAC_KI",0.522341199021746,0.522341199021746
"arabidopsis_KAAC_KK",0.538634410734351,0.538634410734351
"arabidopsis_KAAC_KL",0.54170797805539,0.54170797805539
"arabidopsis_KAAC_KM",0.513748430167228,0.513748430167228
"arabidopsis_KAAC_KN",0.533908387864366,0.533908387864366
"arabidopsis_KAAC_KP",0.520887038138674,0.520887038138674
"arabidopsis_KAAC_KQ",0.588439420979576,0.588439420979576
"arabidopsis_KAAC_KR",0.511203648621852,0.511203648621852
"arabidopsis_KAAC_KS",0.509055456408223,0.509055456408223
"arabidopsis_KAAC_KT",0.527463811223478,0.527463811223478
"arabidopsis_KAAC_KV",0.605492762244696,0.605492762244696
"arabidopsis_KAAC_KW",0.522341199021746,0.522341199021746
"arabidopsis_KAAC_KY",0.543294335382378,0.543294335382378
"arabidopsis_KAAC_LA",0.522142904355873,0.522142904355873
"arabidopsis_KAAC_LD",0.549771961134246,0.549771961134246
"arabidopsis_KAAC_LE",0.533577896754577,0.533577896754577
"arabidopsis_KAAC_LF",0.506279331085994,0.506279331085994
"arabidopsis_KAAC_LG",0.530603476766475,0.530603476766475
"arabidopsis_KAAC_LH",0.510410469958358,0.510410469958358
"arabidopsis_KAAC_LI",0.537973428514773,0.537973428514773
"arabidopsis_KAAC_LK",0.606252891797211,0.606252891797211
"arabidopsis_KAAC_LL",0.55175490779298,0.55175490779298
"arabidopsis_KAAC_LM",0.502214290435587,0.502214290435587
"arabidopsis_KAAC_LN",0.514872099940512,0.514872099940512
"arabidopsis_KAAC_LP",0.502412585101461,0.502412585101461
"arabidopsis_KAAC_LQ",0.583779496331549,0.583779496331549
"arabidopsis_KAAC_LR",0.507171657082425,0.507171657082425
"arabidopsis_KAAC_LS",0.571947914601097,0.571947914601097
