"","Overall"
"arabidopsis_KAAC_AA",0.0150077922077922
"arabidopsis_KAAC_AC",0.0153920634920635
"arabidopsis_KAAC_AD",0.0476386317230355
"arabidopsis_KAAC_AE",0.0333777980821239
"arabidopsis_KAAC_AF",0.0353554492307433
"arabidopsis_KAAC_AG",0.0278486260116695
"arabidopsis_KAAC_AH",0.0095187707641196
"arabidopsis_KAAC_AI",0.049340704976878
"arabidopsis_KAAC_AK",0.0402462174363179
"arabidopsis_KAAC_AL",0.0597467598838268
"arabidopsis_KAAC_AM",0.0310903384256751
"arabidopsis_KAAC_AN",0.0389378474470143
"arabidopsis_KAAC_AP",0.0587132065133911
"arabidopsis_KAAC_AQ",0.0390095006169916
"arabidopsis_KAAC_AR",0.0738045439559412
"arabidopsis_KAAC_AS",0.0312307473469206
"arabidopsis_KAAC_AT",0.0168295934417886
"arabidopsis_KAAC_AV",0.0536482011484637
"arabidopsis_KAAC_AW",0.0131556508532118
"arabidopsis_KAAC_AY",0.0066820512820513
"arabidopsis_KAAC_CA",0.0152691919191919
"arabidopsis_KAAC_CC",0.023815737655725
"arabidopsis_KAAC_CE",0.00525631582348002
"arabidopsis_KAAC_CF",0.0134592335484919
"arabidopsis_KAAC_CH",0.0755127319268691
"arabidopsis_KAAC_CI",0.0102222222222222
"arabidopsis_KAAC_CK",0.0237179697999842
"arabidopsis_KAAC_CL",0.0546805344351836
"arabidopsis_KAAC_CM",0.006
"arabidopsis_KAAC_CN",0.0437993468841874
"arabidopsis_KAAC_CP",0.00871209193383106
"arabidopsis_KAAC_CQ",0.0266481178396072
"arabidopsis_KAAC_CR",0.015306218487395
"arabidopsis_KAAC_CS",0.041185950128606
"arabidopsis_KAAC_CT",0.0225050131074813
"arabidopsis_KAAC_CV",0.0574511219500533
"arabidopsis_KAAC_CW",0.0176956334324756
"arabidopsis_KAAC_CY",0.000902439024390247
"arabidopsis_KAAC_DA",0.0330506805328268
"arabidopsis_KAAC_DC",0.0325422070185291
"arabidopsis_KAAC_DD",0.026598881794534
"arabidopsis_KAAC_DE",0.0147266666666667
"arabidopsis_KAAC_DF",0.060499625880124
"arabidopsis_KAAC_DG",0.0335014474075676
"arabidopsis_KAAC_DH",0.0102994303941672
"arabidopsis_KAAC_DI",0.0535200579310914
"arabidopsis_KAAC_DK",0.0228836496836497
