"","Overall"
"arabidopsis_AC_AC.d.1.BHAR880101",0.59226487323714
"arabidopsis_AC_AC.d.1.BIGC670101",0.51250504429414
"arabidopsis_AC_AC.d.1.CHAM820102",0.311662076878945
"arabidopsis_AC_AC.d.1.CIDH920105",0.270690537084399
"arabidopsis_AC_AC.d.1.GRAR740102",1.08802791180451
"arabidopsis_AC_AC.d.1.KLEP840101",4.81950080929824
"arabidopsis_AC_AC.d.1.KUHL950101",1.53942915138525
"arabidopsis_AC_AC.d.10.BHAR880101",0
"arabidopsis_AC_AC.d.10.BIGC670101",0.982280225561133
"arabidopsis_AC_AC.d.10.CHAM820102",0
"arabidopsis_AC_AC.d.10.CHOC760101",0.416754440961338
"arabidopsis_AC_AC.d.10.CIDH920105",0.554219626703309
"arabidopsis_AC_AC.d.10.GRAR740102",0
"arabidopsis_AC_AC.d.10.KLEP840101",0
"arabidopsis_AC_AC.d.10.KUHL950101",0.843187695999944
"arabidopsis_AC_AC.d.11.BHAR880101",1.21932622367442
"arabidopsis_AC_AC.d.11.BIGC670101",2.05085486689433
"arabidopsis_AC_AC.d.11.CHAM820102",0.189371980676329
"arabidopsis_AC_AC.d.11.CHOC760101",2.84083470463668
"arabidopsis_AC_AC.d.11.CIDH920105",0.033822222222222
"arabidopsis_AC_AC.d.11.GRAR740102",0.808216100629894
"arabidopsis_AC_AC.d.11.KLEP840101",0.360119047619048
"arabidopsis_AC_AC.d.11.KUHL950101",0.792899818295126
"arabidopsis_AC_AC.d.12.BHAR880101",0.915039334305595
"arabidopsis_AC_AC.d.12.BIGC670101",0
"arabidopsis_AC_AC.d.12.CHAM820102",0
"arabidopsis_AC_AC.d.12.CIDH920105",0.129932367149759
"arabidopsis_AC_AC.d.12.GRAR740102",0.654454558393576
"arabidopsis_AC_AC.d.12.KLEP840101",0.230389207807118
"arabidopsis_AC_AC.d.13.BHAR880101",2.25149681173929
"arabidopsis_AC_AC.d.13.BIGC670101",0
"arabidopsis_AC_AC.d.13.CHAM820102",0.374223880597015
"arabidopsis_AC_AC.d.13.CHOC760101",0
"arabidopsis_AC_AC.d.13.CIDH920105",0.961657014971285
"arabidopsis_AC_AC.d.13.GRAR740102",0.332946608946609
"arabidopsis_AC_AC.d.13.KLEP840101",0
"arabidopsis_AC_AC.d.13.KUHL950101",0.530146713757967
"arabidopsis_AC_AC.d.14.BHAR880101",1.02870894302785
"arabidopsis_AC_AC.d.14.BIGC670101",0.204568195354377
"arabidopsis_AC_AC.d.14.CHAM820102",0
"arabidopsis_AC_AC.d.14.CIDH920105",0.258656258297968
"arabidopsis_AC_AC.d.14.GRAR740102",0
"arabidopsis_AC_AC.d.14.KLEP840101",0.252631578947368
"arabidopsis_AC_AC.d.14.KUHL950101",0.501784342223149
"arabidopsis_AC_AC.d.15.BHAR880101",1.12853565474507
"arabidopsis_AC_AC.d.15.BIGC670101",0.340827692327586
"arabidopsis_AC_AC.d.15.CHAM820102",1.14086849527755
"arabidopsis_AC_AC.d.15.CHOC760101",0.412824170738741
"arabidopsis_AC_AC.d.15.CIDH920105",1.57868169934989
"arabidopsis_AC_AC.d.15.GRAR740102",0
"arabidopsis_AC_AC.d.15.KLEP840101",0.027
"arabidopsis_AC_AC.d.15.KUHL950101",2.31770134079108
"arabidopsis_AC_AC.d.16.BHAR880101",0
"arabidopsis_AC_AC.d.16.BIGC670101",0
"arabidopsis_AC_AC.d.16.CHAM820102",0.778943388637506
"arabidopsis_AC_AC.d.16.CIDH920105",0
"arabidopsis_AC_AC.d.16.GRAR740102",1.03365114679789
"arabidopsis_AC_AC.d.16.KLEP840101",0.468198673894539
"arabidopsis_AC_AC.d.16.KUHL950101",0.817392085825821
"arabidopsis_AC_AC.d.17.BHAR880101",0.382266009852217
"arabidopsis_AC_AC.d.17.BIGC670101",0.758006134303928
"arabidopsis_AC_AC.d.17.CHAM820102",0.185714285714286
"arabidopsis_AC_AC.d.17.CHOC760101",0.389557954363801
"arabidopsis_AC_AC.d.17.CIDH920105",0.0188888888888888
"arabidopsis_AC_AC.d.17.GRAR740102",0
"arabidopsis_AC_AC.d.17.KLEP840101",0.605305226948264
"arabidopsis_AC_AC.d.17.KUHL950101",0.0701298701298702
"arabidopsis_AC_AC.d.18.BHAR880101",0.426136363636364
"arabidopsis_AC_AC.d.18.BIGC670101",0
"arabidopsis_AC_AC.d.18.CHAM820101",0.698641463414634
"arabidopsis_AC_AC.d.18.CHAM820102",0.777628773493476
"arabidopsis_AC_AC.d.18.CHOC760101",0.596838498476575
"arabidopsis_AC_AC.d.18.CIDH920105",0.176287090898408
"arabidopsis_AC_AC.d.18.GRAR740102",0
"arabidopsis_AC_AC.d.18.KLEP840101",0
"arabidopsis_AC_AC.d.18.KUHL950101",0
"arabidopsis_AC_AC.d.19.BHAR880101",0.375398653562588
"arabidopsis_AC_AC.d.19.BIGC670101",0.449432253570185
"arabidopsis_AC_AC.d.19.CHAM820102",0
"arabidopsis_AC_AC.d.19.CIDH920105",0.344552544741193
"arabidopsis_AC_AC.d.19.GRAR740102",0.675290331330325
"arabidopsis_AC_AC.d.19.KLEP840101",0.932316318783516
"arabidopsis_AC_AC.d.19.KUHL950101",0
"arabidopsis_AC_AC.d.2.BHAR880101",0
"arabidopsis_AC_AC.d.2.BIGC670101",0.343636363636364
"arabidopsis_AC_AC.d.2.CHAM820102",0.183365079365079
"arabidopsis_AC_AC.d.2.CIDH920105",0.307091115053327
"arabidopsis_AC_AC.d.2.GRAR740102",0
"arabidopsis_AC_AC.d.2.KLEP840101",0.832653795475692
"arabidopsis_AC_AC.d.2.KUHL950101",0
"arabidopsis_AC_AC.d.20.BHAR880101",1.38333748157461
"arabidopsis_AC_AC.d.20.BIGC670101",0.270080970045072
"arabidopsis_AC_AC.d.20.CHAM820102",0
"arabidopsis_AC_AC.d.20.CHOC760101",0.89212732292929
"arabidopsis_AC_AC.d.20.CIDH920105",0.633217526434918
"arabidopsis_AC_AC.d.20.GRAR740102",0
"arabidopsis_AC_AC.d.20.KLEP840101",0.428701585036359
"arabidopsis_AC_AC.d.20.KUHL950101",0
"arabidopsis_AC_AC.d.21.BHAR880101",1.14982344354835
"arabidopsis_AC_AC.d.21.BIGC670101",0.931447017815658
"arabidopsis_AC_AC.d.21.CHAM820101",0
"arabidopsis_AC_AC.d.21.CHAM820102",0.927336544519643
"arabidopsis_AC_AC.d.21.CHOC760101",1.14384291131877
"arabidopsis_AC_AC.d.21.CIDH920105",0.942507278297607
"arabidopsis_AC_AC.d.21.GRAR740102",0.0617142857142856
"arabidopsis_AC_AC.d.21.KLEP840101",0.027
"arabidopsis_AC_AC.d.21.KUHL950101",0
"arabidopsis_AC_AC.d.22.BHAR880101",0.257142857142857
"arabidopsis_AC_AC.d.22.BIGC670101",0.481351214142912
"arabidopsis_AC_AC.d.22.CHAM820102",0.458823529411765
"arabidopsis_AC_AC.d.22.CHOC760101",0.141493268053855
"arabidopsis_AC_AC.d.22.CIDH920105",0.0409381663113006
"arabidopsis_AC_AC.d.22.GRAR740102",0.252467532467532
"arabidopsis_AC_AC.d.22.KLEP840101",0.54241751296125
"arabidopsis_AC_AC.d.22.KUHL950101",1.3048088617943
"arabidopsis_AC_AC.d.23.BHAR880101",0.518997569892491
"arabidopsis_AC_AC.d.23.BIGC670101",0.246311300639659
"arabidopsis_AC_AC.d.23.CHAM820102",0.578127184510882
"arabidopsis_AC_AC.d.23.CHOC760101",0.373371428571429
"arabidopsis_AC_AC.d.23.CIDH920105",0.513079178885631
"arabidopsis_AC_AC.d.23.GRAR740102",0
"arabidopsis_AC_AC.d.23.KLEP840101",0.185714285714286
"arabidopsis_AC_AC.d.23.KUHL950101",0
"arabidopsis_AC_AC.d.24.BHAR880101",0.127670322366234
"arabidopsis_AC_AC.d.24.BIGC670101",3.18319017832901
"arabidopsis_AC_AC.d.24.CHAM820102",1.14162375985393
"arabidopsis_AC_AC.d.24.CHOC760101",3.8554051919221
"arabidopsis_AC_AC.d.24.CIDH920105",0.949177452528496
"arabidopsis_AC_AC.d.24.GRAR740102",0.861019729030714
"arabidopsis_AC_AC.d.24.KLEP840101",0
"arabidopsis_AC_AC.d.24.KUHL950101",0
"arabidopsis_AC_AC.d.25.BHAR880101",0.14195537525355
"arabidopsis_AC_AC.d.25.BIGC670101",1.52502423187083
"arabidopsis_AC_AC.d.25.CHAM820102",0.542866104655578
"arabidopsis_AC_AC.d.25.CHOC760101",0.47013393699302
"arabidopsis_AC_AC.d.25.CIDH920105",0.256681704260652
"arabidopsis_AC_AC.d.25.GRAR740102",0.361411764705882
"arabidopsis_AC_AC.d.25.KLEP840101",0.609737445252549
"arabidopsis_AC_AC.d.25.KUHL950101",0.55259971156681
"arabidopsis_AC_AC.d.26.BHAR880101",0.0149333333333333
"arabidopsis_AC_AC.d.26.BIGC670101",0.0579622641509434
"arabidopsis_AC_AC.d.26.CHAM820102",0.0952605888836403
"arabidopsis_AC_AC.d.26.CIDH920105",0.286772486772487
"arabidopsis_AC_AC.d.26.GRAR740102",0.233897619704071
"arabidopsis_AC_AC.d.26.KLEP840101",0.799558265582656
"arabidopsis_AC_AC.d.26.KUHL950101",0.734487153627339
"arabidopsis_AC_AC.d.27.BHAR880101",0.748447654969394
"arabidopsis_AC_AC.d.27.BIGC670101",0.673408633460247
"arabidopsis_AC_AC.d.27.CHAM820102",0.119677039529016
"arabidopsis_AC_AC.d.27.CHOC760101",0.518476190476191
"arabidopsis_AC_AC.d.27.GRAR740102",0
"arabidopsis_AC_AC.d.27.KLEP840101",0
"arabidopsis_AC_AC.d.27.KUHL950101",0.602236107132719
"arabidopsis_AC_AC.d.28.BHAR880101",0
"arabidopsis_AC_AC.d.28.BIGC670101",0.557947445644925
"arabidopsis_AC_AC.d.28.CHAM820102",0.156052638027789
"arabidopsis_AC_AC.d.28.CIDH920105",0.19536181630547
"arabidopsis_AC_AC.d.28.GRAR740102",0.12952380952381
"arabidopsis_AC_AC.d.28.KLEP840101",1.60298129369445
"arabidopsis_AC_AC.d.28.KUHL950101",0
"arabidopsis_AC_AC.d.29.BHAR880101",0.949456344415518
"arabidopsis_AC_AC.d.29.BIGC670101",0.14195537525355
"arabidopsis_AC_AC.d.29.CHAM820102",0.132836152611434
"arabidopsis_AC_AC.d.29.CHOC760101",0.269019607843137
"arabidopsis_AC_AC.d.29.CIDH920105",1.23978222511489
"arabidopsis_AC_AC.d.29.GRAR740102",0.701177971206489
"arabidopsis_AC_AC.d.29.KLEP840101",0.0323809523809524
"arabidopsis_AC_AC.d.29.KUHL950101",1.62133197221299
"arabidopsis_AC_AC.d.3.BHAR880101",1.07910689533556
"arabidopsis_AC_AC.d.3.BIGC670101",0
"arabidopsis_AC_AC.d.3.CHAM820102",0.0345098039215686
"arabidopsis_AC_AC.d.3.CIDH920105",0.684783528588914
"arabidopsis_AC_AC.d.3.GRAR740102",0.149369423558897
"arabidopsis_AC_AC.d.3.KLEP840101",0.08462828713575
"arabidopsis_AC_AC.d.3.KUHL950101",0
"arabidopsis_AC_AC.d.30.BHAR880101",0.714432946124007
"arabidopsis_AC_AC.d.30.BIGC670101",0.250620365549943
"arabidopsis_AC_AC.d.30.CHAM820102",1.13282930778071
"arabidopsis_AC_AC.d.30.CIDH920105",1.31782179709004
"arabidopsis_AC_AC.d.30.GRAR740102",0
"arabidopsis_AC_AC.d.30.KLEP840101",0
"arabidopsis_AC_AC.d.30.KUHL950101",0
"arabidopsis_AC_AC.d.4.BHAR880101",0.590737628097777
"arabidopsis_AC_AC.d.4.BIGC670101",0.3946918767507
"arabidopsis_AC_AC.d.4.CHAM820102",0.246450714036921
"arabidopsis_AC_AC.d.4.CIDH920105",0.45296795670545
"arabidopsis_AC_AC.d.4.GRAR740102",0.0234068275712112
"arabidopsis_AC_AC.d.4.KLEP840101",0.132695434646654
"arabidopsis_AC_AC.d.4.KUHL950101",0
"arabidopsis_AC_AC.d.5.BHAR880101",0.261333333333333
"arabidopsis_AC_AC.d.5.BIGC670101",0.427272727272727
"arabidopsis_AC_AC.d.5.CHAM820102",0
"arabidopsis_AC_AC.d.5.CIDH920105",2.62586654444896
"arabidopsis_AC_AC.d.5.GRAR740102",0.270321620011912
"arabidopsis_AC_AC.d.5.KLEP840101",0.124141065830721
"arabidopsis_AC_AC.d.5.KUHL950101",0.469374042309891
"arabidopsis_AC_AC.d.6.BHAR880101",0.685488160567009
"arabidopsis_AC_AC.d.6.BIGC670101",0.499781349280446
"arabidopsis_AC_AC.d.6.CHAM820102",0.3
"arabidopsis_AC_AC.d.6.CIDH920105",0.435409657726436
"arabidopsis_AC_AC.d.6.GRAR740102",0.302961038961039
"arabidopsis_AC_AC.d.6.KLEP840101",0
"arabidopsis_AC_AC.d.6.KUHL950101",1.39214519264716
"arabidopsis_AC_AC.d.7.BHAR880101",0.488347826086956
"arabidopsis_AC_AC.d.7.BIGC670101",0
"arabidopsis_AC_AC.d.7.CHAM820102",0
"arabidopsis_AC_AC.d.7.CIDH920105",1.23168851693967
"arabidopsis_AC_AC.d.7.GRAR740102",1.11718784265836
"arabidopsis_AC_AC.d.7.KLEP840101",0.483559200271798
"arabidopsis_AC_AC.d.7.KUHL950101",0
"arabidopsis_AC_AC.d.8.BHAR880101",0.208506787330317
"arabidopsis_AC_AC.d.8.BIGC670101",0.379584125900275
"arabidopsis_AC_AC.d.8.CHAM820102",0.510328533269202
"arabidopsis_AC_AC.d.8.CHOC760101",0.85312712636182
"arabidopsis_AC_AC.d.8.CIDH920105",0.06
"arabidopsis_AC_AC.d.8.GRAR740102",0.805169521646557
"arabidopsis_AC_AC.d.8.KLEP840101",0
"arabidopsis_AC_AC.d.8.KUHL950101",0.251428571428571
"arabidopsis_AC_AC.d.9.BHAR880101",0
"arabidopsis_AC_AC.d.9.BIGC670101",0.518476190476191
"arabidopsis_AC_AC.d.9.CHAM820102",0.21013698630137
"arabidopsis_AC_AC.d.9.CIDH920105",0.853090666855182
"arabidopsis_AC_AC.d.9.GRAR740102",0.577305193999276
"arabidopsis_AC_AC.d.9.KLEP840101",0.574308801173251
"arabidopsis_AC_AC.d.9.KUHL950101",0
"arabidopsis_CTD_D.P1.G2.First.",0.0322070015220701
"arabidopsis_CTD_D.P1.G3.25..",0.975276931696655
"arabidopsis_CTD_D.P1.G3.50..",0.406721122321758
"arabidopsis_CTD_D.P2.G1.100..",0
"arabidopsis_CTD_D.P2.G1.50..",0
"arabidopsis_CTD_D.P2.G1.75..",0.246311300639659
"arabidopsis_CTD_D.P2.G2.100..",0
"arabidopsis_CTD_D.P2.G2.25..",0.425797780266775
"arabidopsis_CTD_D.P2.G2.50..",0.306043727799113
"arabidopsis_CTD_D.P2.G2.75..",0.827647245203309
"arabidopsis_CTD_D.P2.G2.First.",0
"arabidopsis_CTD_D.P3.G1.100..",0.385971908672428
"arabidopsis_CTD_D.P3.G1.25..",0.475811900446122
"arabidopsis_CTD_D.P3.G1.50..",0.481831548613158
"arabidopsis_CTD_D.P3.G1.75..",0.252948495598476
"arabidopsis_CTD_D.P3.G2.100..",0
"arabidopsis_CTD_D.P3.G2.25..",0
"arabidopsis_CTD_D.P3.G2.50..",0.681976570614947
"arabidopsis_CTD_D.P3.G2.75..",0.252631578947368
"arabidopsis_CTD_D.P3.G2.First.",0.0322070015220701
"arabidopsis_CTD_D.P4.G1.100..",0
"arabidopsis_CTD_D.P4.G1.25..",0.608008594236172
"arabidopsis_CTD_D.P4.G1.50..",0
"arabidopsis_CTD_D.P4.G1.75..",0
"arabidopsis_CTD_D.P4.G1.First.",0
"arabidopsis_CTD_D.P4.G2.100..",0.27524926686217
"arabidopsis_CTD_D.P4.G2.25..",0.928046729068803
"arabidopsis_CTD_D.P4.G2.50..",0.296692554744525
"arabidopsis_CTD_D.P4.G2.75..",0.30216276477146
"arabidopsis_CTD_D.P4.G2.First.",0
"arabidopsis_CTD_D.P4.G3.100..",0.32178021978022
