"k","Accuracy","Kappa","name"
1,0.670731707317073,0.341463414634146,"50"
3,0.699186991869919,0.398373983739837,"50"
5,0.686991869918699,0.373983739837398,"50"
7,0.719512195121951,0.439024390243902,"50"
9,0.707317073170732,0.414634146341463,"50"
11,0.723577235772358,0.447154471544716,"50"
1,0.719512195121951,0.439024390243902,"100"
3,0.670731707317073,0.341463414634146,"100"
5,0.695121951219512,0.390243902439024,"100"
7,0.703252032520325,0.40650406504065,"100"
9,0.686991869918699,0.373983739837398,"100"
11,0.66260162601626,0.32520325203252,"100"
1,0.739837398373984,0.479674796747968,"150"
3,0.678861788617886,0.357723577235772,"150"
5,0.67479674796748,0.349593495934959,"150"
7,0.67479674796748,0.349593495934959,"150"
9,0.654471544715447,0.308943089430894,"150"
11,0.66260162601626,0.32520325203252,"150"
1,0.703252032520325,0.40650406504065,"200"
3,0.691056910569106,0.382113821138211,"200"
5,0.699186991869919,0.398373983739837,"200"
7,0.691056910569106,0.382113821138211,"200"
9,0.691056910569106,0.382113821138211,"200"
11,0.67479674796748,0.349593495934959,"200"
1,0.735772357723577,0.471544715447154,"pca5"
3,0.707317073170732,0.414634146341463,"pca5"
5,0.670731707317073,0.341463414634146,"pca5"
7,0.682926829268293,0.365853658536585,"pca5"
9,0.650406504065041,0.300813008130081,"pca5"
11,0.577235772357724,0.154471544715447,"pca5"
1,0.719512195121951,0.439024390243902,"pca10"
3,0.711382113821138,0.422764227642277,"pca10"
5,0.682926829268293,0.365853658536585,"pca10"
7,0.658536585365854,0.317073170731707,"pca10"
9,0.66260162601626,0.32520325203252,"pca10"
11,0.609756097560976,0.219512195121951,"pca10"
