"k","Accuracy","Kappa","name"
1,0.658536585365854,0.317073170731707,"50"
3,0.552845528455285,0.105691056910569,"50"
5,0.560975609756098,0.121951219512195,"50"
7,0.540650406504065,0.0813008130081301,"50"
9,0.524390243902439,0.0487804878048781,"50"
11,0.508130081300813,0.0162601626016261,"50"
1,0.686991869918699,0.373983739837398,"100"
3,0.577235772357724,0.154471544715447,"100"
5,0.520325203252033,0.0406504065040652,"100"
7,0.528455284552846,0.056910569105691,"100"
9,0.528455284552846,0.056910569105691,"100"
11,0.508130081300813,0.0162601626016261,"100"
1,0.695121951219512,0.390243902439024,"150"
3,0.601626016260163,0.203252032520325,"150"
5,0.565040650406504,0.130081300813008,"150"
7,0.528455284552846,0.056910569105691,"150"
9,0.528455284552846,0.056910569105691,"150"
11,0.504065040650406,0.00813008130081294,"150"
1,0.695121951219512,0.390243902439024,"200"
3,0.597560975609756,0.195121951219512,"200"
5,0.585365853658537,0.170731707317073,"200"
7,0.540650406504065,0.0813008130081301,"200"
9,0.51219512195122,0.024390243902439,"200"
11,0.552845528455285,0.105691056910569,"200"
1,0.760162601626016,0.520325203252032,"pca5"
3,0.658536585365854,0.317073170731707,"pca5"
5,0.621951219512195,0.24390243902439,"pca5"
7,0.577235772357724,0.154471544715447,"pca5"
9,0.540650406504065,0.0813008130081301,"pca5"
11,0.51219512195122,0.024390243902439,"pca5"
1,0.804878048780488,0.609756097560976,"pca10"
3,0.686991869918699,0.373983739837398,"pca10"
5,0.626016260162602,0.252032520325203,"pca10"
7,0.609756097560976,0.219512195121951,"pca10"
9,0.540650406504065,0.0813008130081301,"pca10"
11,0.536585365853659,0.0731707317073171,"pca10"
